bill	chapter	striker	title	origin	second_chamber_amended	chamber	roll	date	tally	divided_rolls	later_kept	version	disposition	reason
SB1741	239		2025-2026; health care	S	yes	senate	1595849	2025-06-27	21-8	2	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft; the other chamber amended the bill and Arizona publishes no member list for the concurrence vote
SB1742	240		2025-2026; higher education	S	yes	house	1595714	2025-06-26	42-14	1	0	enacted_text	candidate:batch-02	on the enacted text, not yet read
SB1742	240		2025-2026; higher education	S	yes	senate	1595871	2025-06-27	20-9	2	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft; the other chamber amended the bill and Arizona publishes no member list for the concurrence vote
SB1743	241		2025-2026; human services	S	yes	house	1595741	2025-06-26	42-14	1	0	enacted_text	candidate:batch-02	on the enacted text, not yet read
SB1743	241		2025-2026; human services	S	yes	senate	1595831	2025-06-27	21-8	2	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft; the other chamber amended the bill and Arizona publishes no member list for the concurrence vote
SB1744	242		2025-2026; K-12 education	S	yes	house	1595749	2025-06-26	42-14	1	0	enacted_text	candidate:batch-02	on the enacted text, not yet read
SB1744	242		2025-2026; K-12 education	S	yes	senate	1595839	2025-06-27	21-8	2	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft; the other chamber amended the bill and Arizona publishes no member list for the concurrence vote
SB1745	243		2025-2026; local government	S	no	house	1595722	2025-06-26	41-15	1	0	enacted_text	candidate:batch-02	on the enacted text, not yet read
SB1745	243		2025-2026; local government	S	no	senate	1592969	2025-06-19	17-13	1	0	enacted_text	candidate:batch-02	on the enacted text, not yet read
SB1746	244		Management; state properties; 2025-2026	S	no	house	1595669	2025-06-26	40-16	1	0	enacted_text	candidate:batch-02	on the enacted text, not yet read
SB1746	244		Management; state properties; 2025-2026	S	no	senate	1593202	2025-06-19	17-13	1	0	enacted_text	candidate:batch-02	on the enacted text, not yet read
SB1747	245		2025-2026; revenue	S	no	house	1595655	2025-06-26	40-16	1	0	enacted_text	candidate:batch-02	on the enacted text, not yet read
SB1747	245		2025-2026; revenue	S	no	senate	1592964	2025-06-19	17-13	1	0	enacted_text	candidate:batch-02	on the enacted text, not yet read
SB1748	246		2025-2026; state budget implementation	S	no	house	1595685	2025-06-26	40-16	1	0	enacted_text	candidate:batch-02	on the enacted text, not yet read
SB1748	246		2025-2026; state budget implementation	S	no	senate	1593220	2025-06-19	17-13	1	0	enacted_text	candidate:batch-02	on the enacted text, not yet read
SB1749	247		2025-2026; taxation; omnibus	S	no	house	1595753	2025-06-26	40-16	1	0	enacted_text	candidate:batch-02	on the enacted text, not yet read
SB1749	247		2025-2026; taxation; omnibus	S	no	senate	1593204	2025-06-19	17-13	1	0	enacted_text	candidate:batch-02	on the enacted text, not yet read
SB1750	248		Transportation; 2025-2026	S	no	house	1595757	2025-06-26	42-14	1	0	enacted_text	candidate:batch-02	on the enacted text, not yet read
SB1750	248		Transportation; 2025-2026	S	no	senate	1593218	2025-06-19	17-13	1	0	enacted_text	candidate:batch-02	on the enacted text, not yet read
