bill	chamber	roll	vote_date	tally	scope	disposition	reason	title
HB1408	senate	1547655	2025-04-14	17-30	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Annually reconvened sessions of the legislative assembly; to provide an effective date; and to provide an expiration date.
HB1411	house	1499664	2025-02-25	39-53	C:failed-vote	batch-04	imported	State prohibition on extreme risk protection provisions; and to provide a penalty.
HB1414	house	1490652	2025-02-14	29-55	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The exercise of public domain in geological storage of carbon dioxide.
HB1416	senate	1542159	2025-04-09	10-36	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Two organizations conducting charitable gaming at the same site.
HB1417	house	1555565	2025-04-23	73-20	A:enacted	dropped:study-only	Directs a study; the measure changes no law.	Parole and probation violations and court fees; to provide for a legislative management study; and to provide a penalty.
HB1419	house	1539202	2025-04-07	68-22	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The public employees retirement system public safety retirement plan.
HB1423	house	1485246	2025-02-10	29-61	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	Benefits for adaptations to real estate and motor vehicles; and to provide for application.
HB1425	house	1553015	2025-04-21	65-28	A:enacted	dropped:study-only	Directs a study; the measure changes no law.	Prosecution-led diversion programs, deflection process, and supervision for presentence programs; to provide for a legislative management st
HB1428	house	1550822	2025-04-16	37-54	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	A sales tax exemption for sales of clothing by a thrift store of a nonprofit corporation; and to provide an effective date.
HB1428	senate	1511286	2025-03-10	31-14	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	A sales tax exemption for sales of clothing by a thrift store of a nonprofit corporation; and to provide an effective date.
HB1430	house	1498215	2025-02-24	55-38	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The regulation of social workers.
HB1430	senate	1529427	2025-03-27	22-25	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The regulation of social workers.
HB1431	house	1498221	2025-02-24	22-69	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	District parties and district committees.
HB1433	house	1485434	2025-02-10	26-64	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The creation of the dementia response program; and to provide an appropriation.
HB1436	house	1474067	2025-01-23	27-64	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The motor vehicle excise tax; and to provide for an effective date.
HB1437	senate	1528179	2025-03-26	28-19	done:dropped	dropped:filter-5	Read in full. Post-tenure review with removal possible. Accountability reading and academic-freedom reading both sit inside public_education_quality, so the counter-reading is not a side strand.	Academic tenure policy at institutions of higher education.
HB1441	house	1484141	2025-02-07	61-30	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The definition of United States central bank digital currency.
HB1441	senate	1509628	2025-03-10	18-27	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The definition of United States central bank digital currency.
HB1444	senate	1525282	2025-03-24	29-15	A:enacted	dropped:filter-5	Read in full. Adds a public meeting before a county adopts a township road. Local government process, not investment in infrastructure.	The county road system.
HB1446	house	1499662	2025-02-25	32-58	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Party organization endorsements, certificates of endorsement, and the minimum vote required at a primary election for nomination.
HB1450	senate	1544460	2025-04-10	18-29	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Parent and guardian access to the medical examination room of a minor.
HB1453	house	1498269	2025-02-24	45-48	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Prohibiting natural asset companies; and to provide a penalty.
HB1454	house	1558470	2025-04-25	59-33	done:dropped	dropped:filter-5	Read in full. Vaccine opt-out for government bodies. Escalated to the operator under the fluoride rule; operator decided 2026-09-07 to drop, because no area carries an honest direction and `general` is barred on roll-call records.	An opt-out procedure for required vaccines.
HB1454	senate	1559197	2025-04-28	30-17	done:dropped	dropped:filter-5	Read in full. Vaccine opt-out for government bodies. Escalated to the operator under the fluoride rule; operator decided 2026-09-07 to drop, because no area carries an honest direction and `general` is barred on roll-call records.	An opt-out procedure for required vaccines.
HB1455	house	1492881	2025-02-18	63-28	B:passed-chamber-died	batch-03	imported	The review of introduced legislation by the Indian affairs commission and tribal consultation.
HB1456	house	1490653	2025-02-14	35-46	C:failed-vote	batch-04	imported	School chaplains in public school districts.
HB1457	house	1495855	2025-02-20	45-42	C:failed-vote	dropped:filter-5	Screened. A further exemption from required vaccines. Same class as HB 1454, which the operator decided to drop.	An exemption to required vaccines.
HB1458	house	1499523	2025-02-25	70-20	B:passed-chamber-died	dropped:study-only	Directs a study; the measure changes no law.	A BILL for an Act to provide for a legislative management study regarding limiting the release of self-spreading viruses and bacteria.
HB1458	senate	1526699	2025-03-25	16-29	C:failed-vote	dropped:study-only	Directs a study; the measure changes no law.	A BILL for an Act to provide for a legislative management study regarding limiting the release of self-spreading viruses and bacteria.
HB1459	house	1569429	2025-05-02	63-26	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The definitions of critical minerals and rare earth minerals and descriptions and definitions of minerals in leases and conveyances; and to
HB1459	senate	1569430	2025-05-02	27-19	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The definitions of critical minerals and rare earth minerals and descriptions and definitions of minerals in leases and conveyances; and to
HB1464	senate	1537480	2025-04-04	19-26	C:failed-vote	dropped:study-only	Directs a study; the measure changes no law.	A BILL for an Act to provide for a legislative management study relating to maternal care services.
HB1465	house	1498345	2025-02-24	44-47	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Gaming tax reductions.
HB1467	house	1498257	2025-02-24	24-69	C:failed-vote	dropped:filter-5	Screened. Publication of vaccine adverse event data. Vaccine-adjacent, so it follows the HB 1454 decision.	The publication of vaccine adverse event data and information; and to provide for a legislative management report.
HB1469	house	1492794	2025-02-18	64-26	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	The statement of interests filed with the secretary of state.
HB1470	house	1542354	2025-04-09	59-32	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Hunting, fishing, and gun dog activity fees and hunting guide and outfitter licensing requirements.
HB1472	house	1499532	2025-02-25	41-49	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The authorization of microschools.
HB1475	house	1498084	2025-02-24	39-54	C:failed-vote	batch-04	imported	Providing breakfast and lunch to all students of participating entities, including school districts, nonpublic schools, and tribal schools,
HB1476	senate	1536829	2025-04-03	28-19	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The assessment of all public school buildings.
HB1477	house	1488037	2025-02-12	34-59	C:failed-vote	batch-04	imported	Fertility health care treatment rights; and to provide a penalty.
HB1478	house	1488325	2025-02-12	27-66	C:failed-vote	batch-04	imported	Contraceptive health care rights; and to provide a penalty.
HB1486	house	1492889	2025-02-18	28-60	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Unauthorized metering.
HB1487	house	1495700	2025-02-20	69-18	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	AN ACT to authorize the department of transportation to transfer real property to the office of management and budget; to provide an appropr
HB1491	house	1494293	2025-02-19	22-71	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Student eligibility for high school sports and activities.
HB1493	house	1492929	2025-02-18	22-67	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The office of legal immigration.
HB1494	house	1499653	2025-02-25	23-69	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The determination of weighted average daily membership; to provide an effective date; and to declare an emergency.
HB1496	house	1487194	2025-02-11	70-19	B:passed-chamber-died	batch-03	imported	Landlord obligations owed to a tenant.
HB1496	senate	1526816	2025-03-25	11-35	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Landlord obligations owed to a tenant.
HB1497	senate	1518078	2025-03-14	28-19	A:enacted	batch-02	imported	Age requirements for an approved four-year old program; and eligibility for the best in class program.
HB1500	senate	1528220	2025-03-26	31-16	A:enacted	batch-02	imported	Nonconforming structures in counties, cities, and townships.
HB1502	house	1483734	2025-02-06	19-74	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The growth of the state general fund budget.
HB1510	senate	1540721	2025-04-08	22-24	C:failed-vote	dropped:study-only	Directs a study; the measure changes no law.	Financial planning resources for new teachers and onsite child care; and to provide for a legislative management study.
HB1511	house	1498479	2025-02-24	74-19	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	Limitations on the performance of an abortion; to provide an appropriation; to provide an effective date; and to declare an emergency.
HB1512	house	1485628	2025-02-10	65-25	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	An individual's ability to file a complaint.
HB1514	house	1498121	2025-02-24	28-63	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Harmful atmospheric activity; and to provide a penalty.
HB1517	house	1487070	2025-02-11	22-67	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The creation of the North Dakota student teacher scholarship program; and to provide an appropriation.
HB1519	house	1495895	2025-02-20	33-54	C:failed-vote	dropped:filter-5	Screened. Death and vaccination records. Vaccine-adjacent, so it follows the HB 1454 decision.	Death and vaccination records.
HB1521	house	1482610	2025-02-05	19-73	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	A motor vehicle excise tax exemption for enrolled tribal members; and to declare an emergency.
HB1523	house	1482663	2025-02-05	39-52	C:failed-vote	excluded:appropriation	Agency appropriation act, excluded by the standing campaign rule.	A BILL for an Act to provide an appropriation to the parks and recreation department for a ski resort infrastructure grant; and to declare a
HB1524	house	1559606	2025-04-28	70-20	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	Regional planning council grants from the department of commerce.
HB1524	senate	1546372	2025-04-11	36-10	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	Regional planning council grants from the department of commerce.
HB1525	senate	1536711	2025-04-03	13-34	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The structure of the state gaming commission and the administration and regulation of games of chance; to provide an appropriation; and to p
HB1527	senate	1546220	2025-04-11	22-24	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Required Holocaust education.
HB1532	house	1488441	2025-02-12	29-64	C:failed-vote	excluded:appropriation	Agency appropriation act, excluded by the standing campaign rule.	A BILL for an Act to provide an appropriation to the legislative assembly for hiring temporary legislative assistants; to provide for an ana
HB1536	house	1489731	2025-02-13	22-62	C:failed-vote	excluded:appropriation	Agency appropriation act, excluded by the standing campaign rule.	A BILL for an Act to provide an appropriation to the department of public instruction to implement a Native American history curriculum; and
HB1538	house	1498114	2025-02-24	38-55	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The environment and rangeland protection fund; and to provide an appropriation.
HB1540	house	1558233	2025-04-25	45-48	C:failed-vote	dropped:filter-5	Screened. Education savings accounts. Same school-choice reason as SB 2241.	An education savings account program for students who are not enrolled in public school or a homeschool program; to provide an appropriation
HB1540	senate	1551513	2025-04-17	27-20	B:passed-chamber-died	dropped:filter-5	Screened. Education savings accounts. Same school-choice reason as SB 2241.	An education savings account program for students who are not enrolled in public school or a homeschool program; to provide an appropriation
HB1544	house	1491548	2025-02-17	27-63	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Drainage permits.
HB1549	house	1542438	2025-04-09	62-29	A:enacted	dropped:study-only	Directs a study; the measure changes no law.	Offenders released from the department of corrections and rehabilitation; to provide for a statement of legislative intent; to provide for a
HB1552	house	1478466	2025-01-31	38-51	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Limitation of the rate of home rule sales, use, or gross receipts taxes; and to provide an effective date.
HB1555	house	1492827	2025-02-18	56-35	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Statements of ownership filed with the secretary of state; and to provide a penalty.
HB1559	house	1487195	2025-02-11	31-58	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Limitations on taxable valuation of residential property; and to provide an effective date.
HB1560	house	1487071	2025-02-11	29-60	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	A primary residence long-term homeowner property valuation reduction; and to provide an effective date.
HB1566	senate	1548845	2025-04-15	31-15	A:enacted	dropped:study-only	Directs a study; the measure changes no law.	AN ACT to provide for a legislative management study relating to the potential uses of kratom and the implementation of regulations of krato
HB1568	senate	1525012	2025-03-24	18-26	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The creation of the North Dakota Ireland trade commission; to provide for a legislative management report; and to provide an expiration date
HB1569	house	1496936	2025-02-21	25-65	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Human trafficking awareness and prevention curriculum.
HB1570	house	1489785	2025-02-13	32-53	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The tax imposed on cigarettes and other tobacco products; to provide a penalty; and to provide an effective date.
HB1571	house	1478367	2025-01-31	30-58	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The sales tax exemption for raw materials, single-use product contact systems, and reagents used for biologic manufacturing; and to provide
HB1573	house	1490654	2025-02-14	23-61	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The imposition of a pore space utilization tax and creation of a North Dakota disaster fund; and to provide an effective date.
HB1574	house	1490655	2025-02-14	20-64	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The authority of the industrial commission; to provide for application; and to provide an expiration date.
HB1576	house	1491632	2025-02-17	39-51	C:failed-vote	dropped:study-only	Directs a study; the measure changes no law.	A BILL for an Act to provide for a legislative management study of the oil and gas tax revenue allocation formulas.
HB1580	house	1487061	2025-02-11	72-18	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	AN ACT to provide for a legislative management study relating to state employee compensation levels.
HB1583	house	1492873	2025-02-18	55-34	B:passed-chamber-died	batch-03	imported	False political advertisements; and to provide a penalty.
HB1583	senate	1534534	2025-04-02	11-36	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	False political advertisements; and to provide a penalty.
HB1585	house	1484084	2025-02-07	41-50	C:failed-vote	batch-04	imported	A requirement for peace officers to report undocumented immigrants to United States immigration and customs.
HB1586	house	1488287	2025-02-12	22-71	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The primary residence credit, setoff of income tax refunds for payment of delinquent real property and special assessment taxes, and elimina
HB1588	house	1499679	2025-02-25	49-43	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	Dangerous weapons, the possession of a firearm or dangerous weapon at a public gathering, testing for a license to carry a firearm or danger
HB1590	house	1489833	2025-02-13	47-40	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	A student education services account pilot program; and to provide an appropriation.
HB1593	house	1491602	2025-02-17	36-53	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	A covered platform's liability for publishing or distributing sexual material harmful to a minor; and to provide a penalty.
HB1594	senate	1530509	2025-03-28	23-22	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Health care facility and preferred provider compliance with medical cost transparency requirements; and to provide a penalty.
HB1596	senate	1542439	2025-04-09	13-33	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Penalties for the ingestion and possession of marijuana, tetrahydrocannabinol, or paraphernalia; and to provide a penalty.
HB1600	house	1553037	2025-04-21	64-29	done:batch-01	batch-01	imported	The establishment of the immigration law clinic at the university of North Dakota school of law; to provide for a report; and to provide an
HB1600	senate	1545164	2025-04-10	34-13	done:batch-01	batch-01	imported	The establishment of the immigration law clinic at the university of North Dakota school of law; to provide for a report; and to provide an
HB1602	house	1494465	2025-02-19	72-18	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Political subdivision participation in the public employees retirement system defined contribution retirement plan.
HB1604	house	1499660	2025-02-25	19-71	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The funding of kindergarten through grade twelve school construction; to provide an appropriation; and to provide an expiration date.
HB1605	house	1494351	2025-02-19	40-53	C:failed-vote	dropped:filter-5	Screened. Would prohibit water fluoridation. The operator does not accept the mainstream-consensus tiebreak on fluoride, so no direction can be assumed.	The prohibition on water fluoridation; to provide a penalty; and to provide an effective date.
HB1609	house	1499557	2025-02-25	20-70	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Admission to the bar examination through an apprenticeship program developed, established, and implemented by the supreme court.
HB1611	house	1495890	2025-02-20	24-62	C:failed-vote	dropped:study-only	Directs a study; the measure changes no law.	A BILL for an Act to provide for a legislative management study regarding oil and chemical spills on state highways within the Fort Berthold
HB1615	house	1478334	2025-01-31	52-37	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	Securing approval for a gaming site authorization.
HCR3002	house	1473266	2025-01-22	24-70	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Authorizing sports betting.
HCR3003	house	1476576	2025-01-29	65-28	A:enacted	dropped:filter-5	Read in full. Would raise the threshold for approving a constitutional amendment to sixty percent, and goes to the voters. Under the Arkansas ballot-initiative rule a measure limiting who may take part, or how hard it is to legislate, carries no honest direction.	The threshold for approving a constitutional amendment.
HCR3003	senate	1542620	2025-04-09	33-13	A:enacted	dropped:filter-5	Read in full. Would raise the threshold for approving a constitutional amendment to sixty percent, and goes to the voters. Under the Arkansas ballot-initiative rule a measure limiting who may take part, or how hard it is to legislate, carries no honest direction.	The threshold for approving a constitutional amendment.
HCR3012	house	1489669	2025-02-13	43-42	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The statewide property tax levy of one mill for support of the state medical center at the University of North Dakota; and to provide an eff
HCR3034	house	1519078	2025-03-17	20-72	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Prohibiting the legislative assembly from proposing certain amendments to article XV of the Constitution of North Dakota; and to provide for
HCR3036	house	1519161	2025-03-17	43-49	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Sessions of the legislative assembly; and to provide an effective date.
SB2001	house	1549150	2025-04-15	62-29	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	Use of legislative rooms and halls and legislative compensation; to provide a statement of legislative intent; to provide for a report; to p
SB2002	house	1552594	2025-04-21	73-19	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	The salaries of justices of the supreme court and salaries of district court judges; to provide for transfers; to provide for a report; and
SB2003	house	1569378	2025-05-02	69-18	A:enacted	dropped:study-only	Directs a study; the measure changes no law.	The naming of the Bismarck state college polytechnic center; to authorize the state board of higher education to issue and sell bonds for ca
SB2004	house	1569844	2025-05-02	71-19	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Immunity from criminal prosecution, definitions, ethics commission meetings, complaints, an informal resolution process, law enforcement ref
SB2004	senate	1487083	2025-02-11	25-21	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	Immunity from criminal prosecution, definitions, ethics commission meetings, complaints, an informal resolution process, law enforcement ref
SB2010	house	1561452	2025-04-29	61-30	A:enacted	excluded:appropriation	Agency appropriation act, excluded by the standing campaign rule.	AN ACT to provide an appropriation for defraying the expenses of the council on the arts; to provide for a transfer; to provide for a report
SB2010	senate	1559602	2025-04-28	34-13	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	AN ACT to provide an appropriation for defraying the expenses of the council on the arts; to provide for a transfer; to provide for a report
SB2012	house	1558301	2025-04-25	61-31	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	Legacy fund definitions, a legacy earnings fund, the legacy earnings highway distribution fund, and legacy earnings township highway aid fun
SB2013	house	1543165	2025-04-09	67-22	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	AN ACT to provide an appropriation for defraying the expenses of the commissioner of university and school lands; to provide for distributio
SB2014	house	1557864	2025-04-24	71-19	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	A transfer from the strategic investment and improvements fund to the clean sustainable energy fund; to provide a deficiency appropriation;
SB2015	house	1564391	2025-05-01	70-20	A:enacted	excluded:appropriation	Agency appropriation act, excluded by the standing campaign rule.	AN ACT to provide an appropriation for defraying the expenses of the department of corrections and rehabilitation; to authorize a line of cr
SB2018	house	1569484	2025-05-02	66-22	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The purpose of the North Dakota development fund, duties and talent strategy of the division of workforce development, the uncrewed aircraft
SB2018	senate	1564335	2025-05-01	27-17	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	The purpose of the North Dakota development fund, duties and talent strategy of the division of workforce development, the uncrewed aircraft
SB2020	house	1559046	2025-04-28	70-18	A:enacted	excluded:appropriation	Agency appropriation act, excluded by the standing campaign rule.	AN ACT to provide an appropriation for defraying the expenses of the North Dakota state university extension service, northern crops institu
SB2023	house	1543161	2025-04-09	65-25	A:enacted	excluded:appropriation	Agency appropriation act, excluded by the standing campaign rule.	AN ACT to provide an appropriation for defraying the expenses of the North Dakota racing commission.
SB2025	house	1548905	2025-04-15	69-22	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The administrative committee on veterans' affairs; to provide for a transfer; to provide an exemption; and to declare an emergency.
SB2026	senate	1472476	2025-01-20	23-24	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Required filings for foreign persons investing in agricultural lands; to provide a penalty; and to provide a contingent effective date.
SB2028	house	1483803	2025-02-06	59-34	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The budget approval process and reports of the department of financial institutions; to provide a continuing appropriation; to provide for a
SB2029	senate	1496745	2025-02-21	24-23	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	The task force on guardianship monitoring and transition requirements; to provide a penalty; to provide for a report; to provide an appropri
SB2035	senate	1471952	2025-01-16	27-20	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The definitions of an educational organization and public-spirited organization, and raffles; and to provide for application.
