bill	roll	date	question_class	yea	nay	disposition	reason	desc	title
HB2596	1638437	2026-02-19	passage	96	26	superseded	the chamber's last kept vote (2026-03-26, 111-10) was not divided	House Final Action - Passed as amended	Permitting the secretary of corrections to enter into certain contracts for the production of manufactured or modular homes for a pilot program at the Hutchinson correctional facility under the prison-made goods act.
HB2603	1636895	2026-02-18	passage	86	38	not-selected	filter 4 keeps one roll per measure per chamber	House Final Action - Passed	Prohibiting regulation of battery-charged security fences by municipalities.
HB2603	1679921	2026-04-09	veto_override	85	38	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Motion to override veto prevailed	Prohibiting regulation of battery-charged security fences by municipalities.
HB2613	1671912	2026-03-27	concurrence	96	27	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Concurred with amendments in conference	Providing for the crime victims compensation board to establish fees chargeable for conducting examinations of persons who may be victims of sexual assault, authorizing the board to adopt rules and regulations to administer such fees and to use moneys in the crime victims compensation fund for the payment of such fees and allowing certain exceptions to the confidentiality of records and information given to the board.
HB2635	1637261	2026-02-18	passage	87	37	not-selected	filter 4 keeps one roll per measure per chamber	House Final Action - Passed	Enacting the pregnancy center autonomy and rights of expression act to protect the ability of private pregnancy centers to provide life-affirming care.
HB2635	1671987	2026-03-27	veto_override	87	35	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Motion to override veto prevailed	Enacting the pregnancy center autonomy and rights of expression act to protect the ability of private pregnancy centers to provide life-affirming care.
HB2652	1638816	2026-02-19	passage	80	36	not-selected	filter 4 keeps one roll per measure per chamber	House Emergency Final Action - Passed	Requiring the clerk of the appellate courts to publish monthly a list of cases of the supreme court and court of appeals in which a decision has not been entered and filed within six months of submission and a list of cases in which a petition for review has not been granted or denied within six months of submission.
HB2652	1671509	2026-03-26	concurrence	83	36	dropped	the title advertises only the addition. The act REPLACES the district court 120-day decision deadline machinery in K.S.A. 20-3301(a) with a monthly publication duty for overdue appellate cases. Removing a district-court accountability tool and adding appellate transparency are opposite directions of comparable weight.	House Concurred with amendments in conference	Requiring the clerk of the appellate courts to publish monthly a list of cases of the supreme court and court of appeals in which a decision has not been entered and filed within six months of submission and a list of cases in which a petition for review has not been granted or denied within six months of submission.
HB2719	1679879	2026-04-09	veto_override	89	34	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Motion to override veto prevailed	Providing an exception to the rules and regulations filing act for technical amendments, creating a process for certain rules and regulations to receive priority status in the adoption process, removing references to revival of rules and regulations, clarifying that the department of the budget is not required to approve proposed rules and regulations mandated by the federal government, adding references to department of corrections rules and regulations that are not subject to the act and requiring an agency submit a proposed rule and regulation to the joint committee on administrative rules and regulations prior to presentation of a bill to the legislature for ratification.
HB2727	1636768	2026-02-18	passage	87	37	not-selected	filter 4 keeps one roll per measure per chamber	House Final Action - Passed	Providing for the plaintiff to elect to limit recovery in claims brought for violations of the woman's-right-to-know act and making the laws providing for medical malpractice screening inapplicable when such election is made.
HB2727	1679992	2026-04-09	veto_override	87	36	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Motion to override veto prevailed	Providing for the plaintiff to elect to limit recovery in claims brought for violations of the woman's-right-to-know act and making the laws providing for medical malpractice screening inapplicable when such election is made.
HB2729	1636676	2026-02-18	passage	87	37	not-selected	filter 4 keeps one roll per measure per chamber	House Final Action - Passed	Requiring the Kansas department of health and environment to provide forms and notices to physicians pursuant to the woman's-right-to know act.
HB2729	1679936	2026-04-09	veto_override	87	36	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Motion to override veto prevailed	Requiring the Kansas department of health and environment to provide forms and notices to physicians pursuant to the woman's-right-to know act.
HB2731	1638647	2026-02-19	passage	85	37	not-selected	filter 4 keeps one roll per measure per chamber	House Final Action - Substitute passed	Requiring the department of health and environment in coordination with the Kansas department for aging and disability services to seek federal approval to establish continuous medicaid eligibility for certain individuals with intellectual or developmental disabilities who are receiving services through a home and community based services waiver, requiring the secretary for children and families and the secretary of health and environment to enter into data-matching agreements with state agencies to verify eligibility for food and medical assistance, directing the department of health and environment to submit certain data to the centers for medicare and medicaid services, prohibiting certain public assistance program waivers or exemptions without legislative approval, prohibiting self-attestation for purposes of determining eligibility for public assistance programs, limiting retroactive enrollment in the medical assistance program, increasing the age limit for able-bodied adults without certain dependents and prohibiting certain exemptions from work requirements under the food assistance program.
HB2731	1671922	2026-03-27	conference_report	80	43	not-selected	filter 4 keeps one roll per measure per chamber	House Conference Committee Report was adopted	Requiring the department of health and environment in coordination with the Kansas department for aging and disability services to seek federal approval to establish continuous medicaid eligibility for certain individuals with intellectual or developmental disabilities who are receiving services through a home and community based services waiver, requiring the secretary for children and families and the secretary of health and environment to enter into data-matching agreements with state agencies to verify eligibility for food and medical assistance, directing the department of health and environment to submit certain data to the centers for medicare and medicaid services, prohibiting certain public assistance program waivers or exemptions without legislative approval, prohibiting self-attestation for purposes of determining eligibility for public assistance programs, limiting retroactive enrollment in the medical assistance program, increasing the age limit for able-bodied adults without certain dependents and prohibiting certain exemptions from work requirements under the food assistance program.
HB2731	1680300	2026-04-10	veto_override	84	39	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Motion to override veto prevailed	Requiring the department of health and environment in coordination with the Kansas department for aging and disability services to seek federal approval to establish continuous medicaid eligibility for certain individuals with intellectual or developmental disabilities who are receiving services through a home and community based services waiver, requiring the secretary for children and families and the secretary of health and environment to enter into data-matching agreements with state agencies to verify eligibility for food and medical assistance, directing the department of health and environment to submit certain data to the centers for medicare and medicaid services, prohibiting certain public assistance program waivers or exemptions without legislative approval, prohibiting self-attestation for purposes of determining eligibility for public assistance programs, limiting retroactive enrollment in the medical assistance program, increasing the age limit for able-bodied adults without certain dependents and prohibiting certain exemptions from work requirements under the food assistance program.
HB2769	1661599	2026-03-12	passage	94	25	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Final Action - Passed as amended	Requiring members of governing bodies of subordinate service taxing areas to be residents of such taxing areas.
SB4	1501231	2025-02-27	passage	80	39	not-selected	filter 4 keeps one roll per measure per chamber; the chosen roll is in batch-01	House Emergency Final Action - Passed as amended	Requiring the return of advance voting ballots by 7:00 p.m. on the day of the election.
SB4	1526411	2025-03-25	veto_override	84	41	batch-01	imported	House Motion to override veto prevailed	Requiring the return of advance voting ballots by 7:00 p.m. on the day of the election.
SB5	1517379	2025-03-13	passage	86	37	not-selected	filter 4 keeps one roll per measure per chamber	House Emergency Final Action - Passed as amended	Prohibiting the use of funds provided by the United States government for the conduct of elections and election-related activities unless approved by the legislature.
SB5	1543779	2025-04-10	veto_override	87	37	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Motion to override veto prevailed	Prohibiting the use of funds provided by the United States government for the conduct of elections and election-related activities unless approved by the legislature.
SB6	1517375	2025-03-13	passage	86	37	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Emergency Final Action - Passed as amended	Prohibiting the use of ranked-choice voting methods for conducting elections.
SB14	1513331	2025-03-11	passage	82	41	not-selected	filter 4 keeps one roll per measure per chamber	House Final Action - Passed as amended	Providing for continuous state budgets until amended, lapsed or eliminated by the legislature, temporary reallocations and establishing conditions and limitations.
SB14	1519742	2025-03-18	conference_report	81	41	not-selected	filter 4 keeps one roll per measure per chamber	House Conference Committee Report was adopted	Providing for continuous state budgets until amended, lapsed or eliminated by the legislature, temporary reallocations and establishing conditions and limitations.
SB14	1544106	2025-04-10	veto_override	85	39	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Motion to override veto prevailed	Providing for continuous state budgets until amended, lapsed or eliminated by the legislature, temporary reallocations and establishing conditions and limitations.
SB21	1528804	2025-03-27	conference_report	90	35	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Conference Committee Report was adopted	Amending the Kansas parimutuel racing act regarding qualifications for an organization license, the definition of horsemen's associations and horsemen's nonprofit organizations and the distribution of certain tax revenues.
SB29	1520984	2025-03-19	passage	88	36	not-selected	filter 4 keeps one roll per measure per chamber	House Emergency Final Action - Passed as amended	Substitute for SB 29 by Committee on Public Health and Welfare - Removing the authority of the county or joint board of health or local health officer to prohibit public gatherings when necessary for the control of infectious or contagious disease.
SB29	1544195	2025-04-10	veto_override	86	38	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Motion to override veto prevailed	Substitute for SB 29 by Committee on Public Health and Welfare - Removing the authority of the county or joint board of health or local health officer to prohibit public gatherings when necessary for the control of infectious or contagious disease.
SB30	1529489	2025-03-27	conference_report	86	38	not-selected	filter 4 keeps one roll per measure per chamber; the chosen roll is in batch-01	House Conference Committee Report was adopted	Providing for occupational licensing annual reports by agencies to the joint committee on administrative rules and regulations and requiring that adoption of new occupational licenses and material changes to existing occupational licenses by a state agency be approved by the legislature by ratification.
SB30	1636184	2026-02-16	conference_report	89	35	not-selected	filter 4 keeps one roll per measure per chamber; the chosen roll is in batch-01	House Conference Committee Report was adopted	Providing for occupational licensing annual reports by agencies to the joint committee on administrative rules and regulations and requiring that adoption of new occupational licenses and material changes to existing occupational licenses by a state agency be approved by the legislature by ratification.
SB30	1679944	2026-04-09	veto_override	88	35	batch-01	imported	House Motion to override veto prevailed	Providing for occupational licensing annual reports by agencies to the joint committee on administrative rules and regulations and requiring that adoption of new occupational licenses and material changes to existing occupational licenses by a state agency be approved by the legislature by ratification.
SB35	1528112	2025-03-26	conference_report	96	26	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Conference Committee Report was adopted	Discontinuing the state property tax levies for the Kansas educational building fund and the state institutions building fund and providing for financing therefor from the state general fund.
SB44	1523271	2025-03-20	passage	77	41	superseded	the chamber's last kept vote (2025-03-26, 102-21) was not divided	House Emergency Final Action - Passed as amended	Declaring antisemitism and antisemitic acts to be against public policy and establishing a statutory definition of such terms.
SB45	1507258	2025-03-06	passage	86	36	superseded	the chamber's last kept vote (2025-03-26, 117-5) was not divided	House Final Action - Passed as amended	Substitute for SB 45 by Committee on Education - Requiring the state board of education to calculate graduation rates for all school districts for purposes of accreditation using an alternative calculation.
SB54	1523373	2025-03-20	passage	87	31	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Emergency Final Action - Passed as amended	Substitute for SB 54 by Committee on Judiciary - Limiting discovery and disclosure of third-party litigation funding agreements and requiring reporting of such agreements to courts.
SB63	1478079	2025-01-31	passage	83	35	batch-01	imported	House Final Action - Passed	Enacting the help not harm act, restricting use of state funds to promote gender transitioning, prohibiting healthcare providers from providing gender transition care to children whose gender identity is inconsistent with the child's sex, authorizing a civil cause of action against healthcare providers for providing such treatments, requiring professional discipline against a healthcare provider who performs such treatment, prohibiting professional liability insurance from covering damages for healthcare providers that provide gender transition treatment to children and adding violation of the act to the definition of unprofessional conduct for physicians.
SB63	1491886	2025-02-18	veto_override	84	35	held	LegiScan tally contradicts the Kansas bill history; see CODE-FINDINGS.md finding 5	House Motion to override veto prevailed	Enacting the help not harm act, restricting use of state funds to promote gender transitioning, prohibiting healthcare providers from providing gender transition care to children whose gender identity is inconsistent with the child's sex, authorizing a civil cause of action against healthcare providers for providing such treatments, requiring professional discipline against a healthcare provider who performs such treatment, prohibiting professional liability insurance from covering damages for healthcare providers that provide gender transition treatment to children and adding violation of the act to the definition of unprofessional conduct for physicians.
SB78	1519708	2025-03-17	passage	86	36	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Final Action - Passed as amended	Requiring postsecondary educational institutions to regularly review and update accreditation policies, prohibiting accrediting agencies from compelling such institutions to violate state law and providing a cause of action for violations thereof.
SB82	1546064	2025-04-11	conference_report	74	48	not-selected	filter 4 keeps one roll per measure per chamber	House Conference Committee Report was adopted	Providing tax credits for expenditures for lockable gun and ammunition storage and the retail sale of higher ethanol blends of fuel, discontinuing the tax credit for qualified alternative-fueled motor vehicle property or fueling station expenditures, repealing the agritourism liability insurance, assistive technology contributions, declared disaster capital investment, owners promoting employment across Kansas and swine facility improvement tax credits and expanding the eligibility for applicable expenses under the child day care services assistance tax credit.
SB82	1680375	2026-04-10	conference_report	76	45	dropped	a four-subject tax credit package - a new gun storage credit, a new ethanol credit, a rewritten child care credit, and repeals of dormant credits - and the child care credit moves both ways, raising the rate from 30% to 75% while removing refundability	House Conference Committee Report was adopted	Providing tax credits for expenditures for lockable gun and ammunition storage and the retail sale of higher ethanol blends of fuel, discontinuing the tax credit for qualified alternative-fueled motor vehicle property or fueling station expenditures, repealing the agritourism liability insurance, assistive technology contributions, declared disaster capital investment, owners promoting employment across Kansas and swine facility improvement tax credits and expanding the eligibility for applicable expenses under the child day care services assistance tax credit.
SB98	1546008	2025-04-11	conference_report	85	37	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Conference Committee Report was adopted	Providing a sales tax exemption for the construction or remodeling of a qualified data center in Kansas and the purchase of data center equipment, eligible data center costs and certain labor costs to qualified firms that commit to a minimum investment of at least $250,000,000 and meet new Kansas jobs and other requirements.
SB105	1513581	2025-03-11	passage	87	36	not-selected	filter 4 keeps one roll per measure per chamber	House Final Action - Passed as amended	Requiring the governor to appoint a person to fill vacancies in the offices of United States senator, state treasurer and commissioner of insurance from a list of names approved by the legislature.
SB105	1518437	2025-03-17	conference_report	84	36	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Conference Committee Report was adopted	Requiring the governor to appoint a person to fill vacancies in the offices of United States senator, state treasurer and commissioner of insurance from a list of names approved by the legislature.
SB114	1519384	2025-03-18	passage	83	39	not-selected	filter 4 keeps one roll per measure per chamber	House Final Action - Passed as amended	Authorizing nonpublic and virtual school students to participate in ancillary public school activities and making it unlawful for the Kansas state high school activities association and school districts to discriminate against such students based on enrollment status.
SB114	1527908	2025-03-26	conference_report	84	38	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Conference Committee Report was adopted	Authorizing nonpublic and virtual school students to participate in ancillary public school activities and making it unlawful for the Kansas state high school activities association and school districts to discriminate against such students based on enrollment status.
SB125	1529255	2025-03-27	conference_report	89	36	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Conference Committee Report was adopted	Making and concerning supplemental appropriations for fiscal year 2025 and appropriations for fiscal years 2026 and 2027 for various state agencies, authorizing certain capital improvement projects and fees, authorizing certain transfers authorizing the payment of certain claims against the state.
SB137	1523393	2025-03-20	passage	90	28	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Emergency Final Action - Passed	Authorizing the sale or transfer of forfeited firearms under the Kansas standard asset seizure and forfeiture act to a licensed firearm dealer.
SB166	1518687	2025-03-17	passage	90	32	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Final Action - Passed	Enacting the fostering competitive career opportunities act to remove postsecondary degree requirements from state employment considerations.
SB199	1520026	2025-03-18	passage	75	45	not-selected	filter 4 keeps one roll per measure per chamber	House Emergency Final Action - Passed as amended	Designating the existing fallen firefighters memorial within the Kansas firefighters museum in Wichita as the official fallen firefighters memorial of the state of Kansas and replacing the Kansas firefighters memorial advisory committee with the Kansas firefighter memorial council; defining the fireworks sales season for seasonal retailers of consumer fireworks, providing for year-round sales by permanent retailers of consumer fireworks, requiring permanent retailers to register with the state fire marshal.
SB199	1528136	2025-03-26	conference_report	68	53	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Conference Committee Report was adopted	Designating the existing fallen firefighters memorial within the Kansas firefighters museum in Wichita as the official fallen firefighters memorial of the state of Kansas and replacing the Kansas firefighters memorial advisory committee with the Kansas firefighter memorial council; defining the fireworks sales season for seasonal retailers of consumer fireworks, providing for year-round sales by permanent retailers of consumer fireworks, requiring permanent retailers to register with the state fire marshal.
SB244	1618709	2026-01-28	passage	87	36	not-selected	filter 4 keeps one roll per measure per chamber; the chosen roll is in batch-01	House Emergency Final Action - Substitute passed as amended	"House Substitute for SB 244 by Committee on Judiciary - Requiring the designation of multiple-occupancy private spaces in public buildings for use by only one sex and imposing criminal and civil penalties for violations, defining the term ""gender"" to mean biological sex at birth for purposes of statutory construction, directing the division of vehicles to invalidate and reissue driver's licenses when necessary to correct the gender identification on such licenses and directing the office of vital statistics to invalidate and reissue birth certificates when necessary to correct the sex identification on such certificates."
SB244	1637133	2026-02-18	veto_override	87	37	batch-01	imported	House Motion to override veto prevailed	"House Substitute for SB 244 by Committee on Judiciary - Requiring the designation of multiple-occupancy private spaces in public buildings for use by only one sex and imposing criminal and civil penalties for violations, defining the term ""gender"" to mean biological sex at birth for purposes of statutory construction, directing the division of vehicles to invalidate and reissue driver's licenses when necessary to correct the gender identification on such licenses and directing the office of vital statistics to invalidate and reissue birth certificates when necessary to correct the sex identification on such certificates."
SB250	1521343	2025-03-19	passage	97	26	superseded	the chamber's last kept vote (2025-03-26, 119-3) was not divided	House Emergency Final Action - Passed as amended	Enacting the right to try for individualized treatments act to permit a manufacturer to make an individualized investigative treatment available to a requesting patient.
SB260	1669540	2026-03-25	conference_report	98	27	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Conference Committee Report was adopted	Relating to campaign finance; concerning a vacancy in the joint candidacy of the governor and lieutenant governor; relating to reasons for withdrawal of candidacy from national, state and local offices; relating to the election of the board of directors of certain irrigation districts; specifying when such elections may be conducted by the mail ballot election law; relating to the crime of corrupt political advertising; removing the requirements that treasurers be listed in political advertising attributions; clarifying campaign finance reports regarding vendor information.
SB269	1527750	2025-03-26	conference_report	84	38	not-selected	filter 4 keeps one roll per measure per chamber; the chosen roll is in batch-01	House Conference Committee Report was adopted	Providing that future income tax and privilege tax rate decreases be contingent on exceeding revenue estimates and retaining a certain amount in the budget stabilization fund.
SB269	1544084	2025-04-10	veto_override	87	37	batch-01	imported	House Motion to override veto prevailed	Providing that future income tax and privilege tax rate decreases be contingent on exceeding revenue estimates and retaining a certain amount in the budget stabilization fund.
SB299	1654275	2026-03-05	passage	87	32	batch-02	imported	House Final Action - Passed as amended	Requiring the supreme court nominating commission to release certain records under the Kansas open records act.
SB334	1665581	2026-03-18	passage	81	43	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Emergency Final Action - Passed	Facilitating nursing workforce development by providing education levels for instructors at nursing schools as a requirement for state approval.
SB335	1655013	2026-03-05	passage	84	34	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Emergency Final Action - Passed	Requiring public construction contracts to include a mutual waiver of consequential damages.
SB361	1671995	2026-03-27	conference_report	87	37	not-selected	filter 4 keeps one roll per measure per chamber	House Conference Committee Report was adopted	Electing to participate in the federal tax credit for individual contributions to scholarship granting organizations.
SB361	1680006	2026-04-09	veto_override	85	38	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Motion to override veto prevailed	Electing to participate in the federal tax credit for individual contributions to scholarship granting organizations.
SB368	1658322	2026-03-10	passage	87	36	not-selected	filter 4 keeps one roll per measure per chamber	House Final Action - Passed	Enacting the health care sharing ministries tax deduction act to provide a subtraction modification for qualified health care sharing expenses paid by a qualified individual and certain qualified health care shares received by a qualified individual.
SB368	1671885	2026-03-27	veto_override	87	37	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Motion to override veto prevailed	Enacting the health care sharing ministries tax deduction act to provide a subtraction modification for qualified health care sharing expenses paid by a qualified individual and certain qualified health care shares received by a qualified individual.
SB375	1665668	2026-03-18	passage	84	40	not-selected	filter 4 keeps one roll per measure per chamber	House Emergency Final Action - Passed as amended	Enacting the proxy advisor transparency act, requiring proxy advisors to make certain disclosures when recommending an action against company management, authorizing the attorney general to investigate and take enforcement actions against violators and establishing a private right of action for a declaratory judgment or injunctive relief.
SB375	1680080	2026-04-09	veto_override	87	36	batch-02	imported	House Motion to override veto prevailed	Enacting the proxy advisor transparency act, requiring proxy advisors to make certain disclosures when recommending an action against company management, authorizing the attorney general to investigate and take enforcement actions against violators and establishing a private right of action for a declaratory judgment or injunctive relief.
SB382	1671391	2026-03-26	conference_report	83	40	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Conference Committee Report was adopted	Providing for the administration of statewide assessments to virtual school students by such students' virtual schools, adding third parties who contract with school districts to the definition of special teacher, providing for special education state aid reimbursement for certain qualified teachers, authorizing nonpublic schools to permit nonaccredited private elementary or secondary school students to participate in certain activities and authorizing foreign exchange students who reside with a host family to enroll in and attend the resident school district of the host family.
SB391	1665596	2026-03-18	passage	75	49	not-selected	filter 4 keeps one roll per measure per chamber	House Emergency Final Action - Passed as amended	Prohibiting cities and counties from adopting or enforcing any ordinance or resolution that requires landlords to lease housing to tenants receiving financial assistance from or through the housing choice voucher program or any other housing assistance program or that otherwise restricts a landlord's ability to consider the income source of a prospective tenant.
SB391	1670105	2026-03-25	conference_report	76	48	not-selected	filter 4 keeps one roll per measure per chamber	House Conference Committee Report was adopted	Prohibiting cities and counties from adopting or enforcing any ordinance or resolution that requires landlords to lease housing to tenants receiving financial assistance from or through the housing choice voucher program or any other housing assistance program or that otherwise restricts a landlord's ability to consider the income source of a prospective tenant.
SB391	1680330	2026-04-10	veto_override	85	38	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Motion to override veto prevailed	Prohibiting cities and counties from adopting or enforcing any ordinance or resolution that requires landlords to lease housing to tenants receiving financial assistance from or through the housing choice voucher program or any other housing assistance program or that otherwise restricts a landlord's ability to consider the income source of a prospective tenant.
SB418	1665547	2026-03-18	passage	97	27	superseded	the chamber's last kept vote (2026-03-26, 117-5) was not divided	House Emergency Final Action - Passed as amended	Enacting the by-right housing development act to provide a streamlined permit approval process for by-right housing developments, allowing third-party review of new residential construction development documents and inspection of improvements, requiring political subdivisions to allow certain building provisions for certain single-family residences of a certain size, excluding owner initiated rezoning to a single-family residential district from protest petition provisions and providing for all land within the corporate limits of a city that is zoned for any type of residential use to be considered zoned for single-family residential use.
SB430	1681539	2026-04-10	conference_report	78	44	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Conference Committee Report was adopted	Adding mitragynine to schedule I of the uniform controlled substances act and reconciling multiple amendments to certain statutes in the Kansas criminal code.
SB462	1665660	2026-03-18	passage	84	40	not-selected	filter 4 keeps one roll per measure per chamber	House Emergency Final Action - Passed as amended	Prohibiting persons who engaged in wrongful conduct from recovering damages in certain civil actions, prohibiting certain public nuisance claims, providing that only the attorney general may file claims regarding public nuisances that are not wholly contained in one political subdivision unless the attorney general delegates authorization to file such claims and requiring special injury for certain public nuisance actions.
SB462	1671991	2026-03-27	conference_report	86	37	not-selected	filter 4 keeps one roll per measure per chamber	House Conference Committee Report was adopted	Prohibiting persons who engaged in wrongful conduct from recovering damages in certain civil actions, prohibiting certain public nuisance claims, providing that only the attorney general may file claims regarding public nuisances that are not wholly contained in one political subdivision unless the attorney general delegates authorization to file such claims and requiring special injury for certain public nuisance actions.
SB462	1680052	2026-04-09	veto_override	86	37	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Motion to override veto prevailed	Prohibiting persons who engaged in wrongful conduct from recovering damages in certain civil actions, prohibiting certain public nuisance claims, providing that only the attorney general may file claims regarding public nuisances that are not wholly contained in one political subdivision unless the attorney general delegates authorization to file such claims and requiring special injury for certain public nuisance actions.
