roll	chamber	date	bill	status	tally	question	reach	later_rolls	same_day_peers	title	history_line	disposition	reason
1529458	house	2025-03-27	HB67	became law	23-14	passage	5			An Act To Amend Title 21 Of The Delaware Code Relating To The Removal Of Motor vehicles From Private Or Public Property By Private Tow Companies.	Passed By House. Votes: 23 YES 14 NO 1 NOT VOTING 3 ABSENT	batch-02	judged and imported
1594486	house	2025-06-24	HB70	became law	26-12	passage	5	1596724		An Act To Amend Titles 16 And 25 Of The Delaware Code Relating To Lead-based Paint.	Passed By House. Votes: 26 YES 12 NO 2 NOT VOTING 1 VACANT	superseded	the same chamber voted again on this measure later (roll 1596724); the later vote is the one on the text that became law
1596723	senate	2025-06-30	HB70	became law	15-6	passage	9			An Act To Amend Titles 16 And 25 Of The Delaware Code Relating To Lead-based Paint.	Passed By Senate. Votes: 15 YES 6 NO	batch-01	judged and imported
1596724	house	2025-06-30	HB70	became law	26-11	passage	5			An Act To Amend Titles 16 And 25 Of The Delaware Code Relating To Lead-based Paint.	Passed By House. Votes: 26 YES 11 NO 2 NOT VOTING 1 ABSENT 1 VACANT	batch-01	judged and imported
1599333	house	2025-08-12	HB73	introduced	17-10	unresolved	4			An Act To Amend Title 14 And 29 Of The Delaware Code Relating To The Senior Property Tax Credit.		excluded	no bill-history line matches this roll on date and tally, so what the chamber was voting on cannot be established from the record
1551391	house	2025-04-17	HB79	became law	29-8	passage	5			An Act To Amend Title 14 Of The Delaware Code Relating To Limitations On The Use Of Seclusion And Restraint.	Passed By House. Votes: 29 YES 8 NO 4 ABSENT	dropped	filter-5 drop after a full read: expands reporting on mechanical restraint and seclusion in schools, but the same act writes school resource officers out of the restraint limits and newly lets an untrained officer fill in for an absent one. Both currents sit inside public_education_quality, so no honest direction.
1565819	house	2025-05-06	HB8	died	12-23	passage	5			An Act To Amend Title 13 Of The Delaware Code Relating To Marriages.	Defeated By House. Votes: 12 YES 23 NO 1 NOT VOTING 5 ABSENT	out-of-gate	the measure died; the campaign gate is divided and enacted
1709683	house	2026-06-16	HB88	died	26-14	passage	5			An Act Proposing An Amendment To Article V Of The Delaware Constitution Relating To Voting.	Defeated By House. Votes: 26 YES 14 NO 1 ABSENT	out-of-gate	the measure died; the campaign gate is divided and enacted
1596475	senate	2025-06-30	HB91	became law	16-5	passage	9			An Act To Amend Title 14 Of The Delaware Code Relating To School Meals.	Passed By Senate. Votes: 16 YES 5 NO	batch-02	judged and imported
1684513	house	2026-04-16	HB94	passed both, awaiting governor	27-14	passage	5			An Act Amending Titles 10 And 11 Of The Delaware Code Relating To Law Enforcement Cooperation In Federal Immigration Enforcement.	Passed By House. Votes: 27 YES 14 NO	batch-03	the Governor signed the measure on the date shown in the Delaware action log, after the dataset cut; judged and imported
1711976	senate	2026-06-25	HB94	passed both, awaiting governor	15-6	passage	9			An Act Amending Titles 10 And 11 Of The Delaware Code Relating To Law Enforcement Cooperation In Federal Immigration Enforcement.	Passed By Senate. Votes: 15 YES 6 NO	batch-03	the Governor signed the measure on the date shown in the Delaware action log, after the dataset cut; judged and imported
1595264	house	2025-06-25	HB96	passed one chamber	21-14	passage	5			An Act To Amend Title 29 Of The Delaware Code Relating To Reports From The Department Of Justice To The Delaware General Assembly, Governor, And Offic	Passed By House. Votes: 21 YES 14 NO 2 NOT VOTING 3 ABSENT 1 VACANT	out-of-gate	the measure passed one chamber; the campaign gate is divided and enacted
1576361	senate	2025-05-22	SB10	became law	15-5	passage	9	1596516		An Act To Amend Title 11 And Title 29 Of The Delaware Code Relating To Modification Of Sentences Of Incarceration.	Passed By Senate. Votes: 15 YES 5 NO 1 ABSENT	superseded	the same chamber voted again on this measure later (roll 1596516); the later vote is the one on the text that became law
1595568	house	2025-06-26	SB10	became law	28-12	passage	5			An Act To Amend Title 11 And Title 29 Of The Delaware Code Relating To Modification Of Sentences Of Incarceration.	Passed By House. Votes: 28 YES 12 NO 1 VACANT	dropped	"filter-5 drop after a full read: the Richard ""Mouse"" Smith Compassionate Release Act. It opens three new routes to a reduced sentence and removes the Board of Parole gate, but it also stretches the wait after a denial from one year to as much as three, adds an open-ended summary dismissal power, and adds a victim-and-witness safety finding. Release and safety pull opposite ways inside public_safety_and_crime_control."
1587450	senate	2025-06-10	SB100	died	16-5	passage	9			An Act Proposing An Amendment To Article I Of The Delaware Constitution Relating To The Right To Marry.	Passed By Senate. Votes: 16 YES 5 NO	out-of-gate	the measure died; the campaign gate is divided and enacted
1712655	house	2026-06-30	SB100	died	28-12	passage	5			An Act Proposing An Amendment To Article I Of The Delaware Constitution Relating To The Right To Marry.	Passed By House. Votes: 28 YES 12 NO 1 ABSENT	out-of-gate	the measure died; the campaign gate is divided and enacted
1597103	house	2025-07-01	SB115	became law	27-12	passage	5			An Act To Amend Title 25 Of The Delaware Code Relating To Summary Possession.	Passed By House. Votes: 27 YES 12 NO 1 ABSENT 1 VACANT	dropped	filter-5 drop: shields eviction filings from public view once conditions are met. This is an eviction record rule, and housing_affordability is defined as housing supply and cost burdens, so the Maryland HB 767 retraction puts it outside the area.
1712749	house	2026-06-30	SB116	became law	25-14	passage	5			An Act To Amend Title 25 Of The Delaware Code Relating To Right Of Redemption.	Passed By House. Votes: 25 YES 14 NO 1 NOT VOTING 1 ABSENT	dropped	filter-5 drop: lets a tenant stop an eviction for unpaid rent by paying what is owed. This is eviction procedure, and housing_affordability is defined as housing supply and cost burdens — the Maryland HB 767 retraction settled that this does not fit the area.
1713169	senate	2026-07-01	SB116	became law	16-4	passage	8			An Act To Amend Title 25 Of The Delaware Code Relating To Right Of Redemption.	Passed By Senate. Votes: 16 YES 4 NO 1 NOT VOTING	dropped	filter-5 drop: lets a tenant stop an eviction for unpaid rent by paying what is owed. This is eviction procedure, and housing_affordability is defined as housing supply and cost burdens — the Maryland HB 767 retraction settled that this does not fit the area.
1711096	house	2026-06-23	SB13	became law	27-13	passage	5			An Act To Amend Title 6 And Title 16 Of The Delaware Code Relating To Hospital Charity Care And Financial Assistance.	Passed By House. Votes: 27 YES 13 NO 1 ABSENT	batch-02	judged and imported
1587578	senate	2025-06-10	SB159	became law	15-5	passage	8	1596570		An Act To Amend Title 26 Of The Delaware Code Relating To Public Utilities.	Passed By Senate. Votes: 15 YES 5 NO 1 ABSENT	superseded	the same chamber voted again on this measure later (roll 1596570); the later vote is the one on the text that became law
1596569	house	2025-06-30	SB159	became law	25-15	passage	5			An Act To Amend Title 26 Of The Delaware Code Relating To Public Utilities.	Passed By House. Votes: 25 YES 15 NO 1 VACANT	dropped	filter-5 drop after a full read: forces counties to permit an electric substation serving a large renewable project, and retroactively deems an already-denied application granted. Read as clearing an obstacle to clean power it scores for; read as stripping county environmental and land-use review it scores against. Both are defensible.
1596570	senate	2025-06-30	SB159	became law	15-6	passage	9			An Act To Amend Title 26 Of The Delaware Code Relating To Public Utilities.	Passed By Senate. Votes: 15 YES 6 NO	dropped	filter-5 drop after a full read: forces counties to permit an electric substation serving a large renewable project, and retroactively deems an already-denied application granted. Read as clearing an obstacle to clean power it scores for; read as stripping county environmental and land-use review it scores against. Both are defensible.
1596937	senate	2025-06-30	SB174	became law	15-6	passage	9			An Act To Amend Title 11 And Title 16 Of The Delaware Code Relating To An Animal Abuse Offender List.	Passed By Senate. Votes: 15 YES 6 NO	dropped	filter-5 drop: creates a public animal abuse offender list. No research area covers animal welfare.
1615471	senate	2026-01-21	SB179	became law	14-6	passage	8			An Act To Amend Title 11 Of The Delaware Code Relating To The Delaware Sentencing Guidelines And Accountability Commission.	Passed By Senate. Votes: 14 YES 6 NO 1 ABSENT	dropped	filter-5 drop: recodifies the Sentencing Accountability Commission. Housekeeping.
1711053	house	2026-06-23	SB179	became law	27-14	passage	5			An Act To Amend Title 11 Of The Delaware Code Relating To The Delaware Sentencing Guidelines And Accountability Commission.	Passed By House. Votes: 27 YES 14 NO	dropped	filter-5 drop: recodifies the Sentencing Accountability Commission. Housekeeping.
1698221	house	2026-05-14	SB201	became law	26-10	passage	5			An Act To Amend Title 24 Of The Delaware Code Relating To Real Estate Brokers And Salespersons	Passed By House. Votes: 26 YES 10 NO 2 NOT VOTING 3 ABSENT	batch-02	judged and imported
1599327	house	2025-08-12	SB203	became law	30-9	passage	5			An Act To Amend Title 9 Of The Delaware Code Relating To County Tax Levy.	Passed By House. Votes: 30 YES 9 NO 2 ABSENT	dropped	filter-5 drop: codifies existing county authority to tax classes of property at different rates. Tax mechanics, and the act states it is a codification of longstanding law.
1708718	senate	2026-06-11	SB23	became law	14-6	passage	9			An Act To Amend Title 9, Title 22, And Title 29 Of The Delaware Code Relating To Housing Supply And Housing Affordability.	Passed By Senate. Votes: 14 YES 6 NO 1 ABSENT	batch-01	judged and imported
1711037	house	2026-06-23	SB23	became law	29-11	passage	5			An Act To Amend Title 9, Title 22, And Title 29 Of The Delaware Code Relating To Housing Supply And Housing Affordability.	Passed By House. Votes: 29 YES 11 NO 1 NOT VOTING	batch-01	judged and imported
1713318	house	2026-07-01	SB232	passed both, awaiting governor	32-9	passage	5			An Act To Amend Title 11 Of The Delaware Code Relating To Criminal Mischief.	Passed By House. Votes: 32 YES 9 NO	out-of-gate	the measure passed both, awaiting governor; the campaign gate is divided and enacted
1573995	senate	2025-05-20	SB24	became law	14-6	passage	9			An Act To Amend Titles 14 And 19 Of The Delaware Code Relating To The Public School Employment Relations Act And The Public Employment Relations Act.	Passed By Senate. Votes: 14 YES 6 NO 1 ABSENT	dropped	filter-5 drop: lets an employee organization be certified on signatures from more than half a bargaining unit without an election. No research area covers labor or union rights.
1595630	house	2025-06-26	SB24	became law	26-12	passage	5			An Act To Amend Titles 14 And 19 Of The Delaware Code Relating To The Public School Employment Relations Act And The Public Employment Relations Act.	Passed By House. Votes: 26 YES 12 NO 2 ABSENT 1 VACANT	dropped	filter-5 drop: lets an employee organization be certified on signatures from more than half a bargaining unit without an election. No research area covers labor or union rights.
1698189	senate	2026-05-14	SB249	passed both, awaiting governor	15-6	passage	9			An Act To Amend Title 16 And Title 29 Of The Delaware Code Relating To Substance Use Harm Reduction.	Passed By Senate. Votes: 15 YES 6 NO	out-of-gate	the measure passed both, awaiting governor; the campaign gate is divided and enacted
1711043	house	2026-06-23	SB249	passed both, awaiting governor	22-16	passage	5			An Act To Amend Title 16 And Title 29 Of The Delaware Code Relating To Substance Use Harm Reduction.	Passed By House. Votes: 22 YES 16 NO 2 NOT VOTING 1 ABSENT	out-of-gate	the measure passed both, awaiting governor; the campaign gate is divided and enacted
1694203	house	2026-05-05	SB250	became law	26-10	passage	5			An Act To Amend Title 10, Title 13, And Title 16 Of The Delaware Code Relating To The Uniform Parentage Act.	Passed By House. Votes: 26 YES 10 NO 2 NOT VOTING 3 ABSENT	batch-02	judged and imported
1613601	senate	2026-01-13	SB26	passed both, awaiting governor	16-5	passage	9			An Act To Amend Title 19 Of The Delaware Code Relating To Unemployment Compensation.	Passed By Senate. Votes: 16 YES 5 NO	out-of-gate	the measure passed both, awaiting governor; the campaign gate is divided and enacted
1693859	house	2026-05-05	SB26	passed both, awaiting governor	26-9	passage	5			An Act To Amend Title 19 Of The Delaware Code Relating To Unemployment Compensation.	Passed By House. Votes: 26 YES 9 NO 6 ABSENT	out-of-gate	the measure passed both, awaiting governor; the campaign gate is divided and enacted
1701119	senate	2026-05-21	SB272	passed one chamber	15-5	passage	8			An Act To Amend Title 14 And Title 29 Of The Delaware Code Relating To Project Labor Agreements For School District Public Works Contracts.	Passed By Senate. Votes: 15 YES 5 NO 1 ABSENT	out-of-gate	the measure passed one chamber; the campaign gate is divided and enacted
1543826	senate	2025-04-10	SB3	passed both, awaiting governor	16-5	passage	9	1681796		An Act Proposing An Amendment To Article V Of The Delaware Constitution Relating To Voting.	Passed By Senate. Votes: 16 YES 5 NO	out-of-gate	the measure passed both, awaiting governor; the campaign gate is divided and enacted
1681796	senate	2026-04-14	SB3	passed both, awaiting governor	14-5	passage	9			An Act Proposing An Amendment To Article V Of The Delaware Constitution Relating To Voting.	Passed By Senate. Votes: 14 YES 5 NO 2 ABSENT	out-of-gate	the measure passed both, awaiting governor; the campaign gate is divided and enacted
1701387	senate	2026-05-21	SB300	passed both, awaiting governor	14-6	passage	8	1712692		An Act To Amend Title 11, Title 16, And Title 24 Of The Delaware Code Relating To Deadly Weapons Dealers.	Passed By Senate. Votes: 14 YES 6 NO 1 ABSENT	superseded	the same chamber voted again on this measure later (roll 1712692); the later vote is the one on the text that became law
1712097	house	2026-06-25	SB300	passed both, awaiting governor	27-11	passage	5			An Act To Amend Title 11, Title 16, And Title 24 Of The Delaware Code Relating To Deadly Weapons Dealers.	Passed By House. Votes: 27 YES 11 NO 1 NOT VOTING 2 ABSENT	batch-03	the Governor signed the measure on the date shown in the Delaware action log, after the dataset cut; judged and imported
1712692	senate	2026-06-30	SB300	passed both, awaiting governor	14-7	passage	9			An Act To Amend Title 11, Title 16, And Title 24 Of The Delaware Code Relating To Deadly Weapons Dealers.	Passed By Senate. Votes: 14 YES 7 NO	batch-03	the Governor signed the measure on the date shown in the Delaware action log, after the dataset cut; judged and imported
1711997	house	2026-06-25	SB320	became law	27-12	passage	5			An Act To Amend Title 16 And Title 24 Of The Delaware Code Relating To Pharmacy And Pharmacists.	Passed By House. Votes: 27 YES 12 NO 2 ABSENT	dropped	filter-5 drop: lets pharmacists evaluate patients, order tests, and prescribe without a statewide protocol. Access improves, but the objection is patient safety and quality of care sits inside healthcare_affordability's own definition, so the Montana HB 218 precedent applies.
1711965	house	2026-06-25	SB322	became law	29-8	passage	5			Act To Amend Title 14 Of The Delaware Code Relating To Local School Taxes.	Passed By House. Votes: 29 YES 8 NO 2 NOT VOTING 2 ABSENT	dropped	filter-5 drop: repeals school districts' power to raise rates up to 10% after a reassessment and caps the revenue increase. Read as tax relief it scores one way, read as cutting school revenue it scores the other.
1712798	house	2026-06-30	SB326	became law	30-11	passage	5			An Act To Amend Title 26 Of The Delaware Code Relating To The Public Service Commission.	Passed By House. Votes: 30 YES 11 NO	batch-02	judged and imported
1715957	senate	2026-07-27	SB353	introduced	6-15	unresolved	9			An Act To Amend The Laws Of Delaware Relating To A Moratorium On Data Center Development.		excluded	no bill-history line matches this roll on date and tally, so what the chamber was voting on cannot be established from the record
1514864	senate	2025-03-11	SB5	passed one chamber	15-6	passage	9			An Act Proposing An Amendment To Article I Of The Delaware Constitution Relating To The Right To Reproductive Freedom.	Passed By Senate. Votes: 15 YES 6 NO	out-of-gate	the measure passed one chamber; the campaign gate is divided and enacted
1595211	house	2025-06-25	SB60	became law	29-9	passage	5			An Act To Amend Title 26 Of The Delaware Code Relating To Public Utilities And Utility Rates.	Passed By House. Votes: 29 YES 9 NO 2 ABSENT 1 VACANT	batch-02	judged and imported
1570573	senate	2025-05-13	SB63	vetoed	14-7	passage	9	1618139		An Act To Amend Title 19 Of The Delaware Code Relating To Labor.	Passed By Senate. Votes: 14 YES 7 NO	out-of-gate	the measure vetoed; the campaign gate is divided and enacted
1594993	house	2025-06-25	SB63	vetoed	25-13	passage	5	1618696		An Act To Amend Title 19 Of The Delaware Code Relating To Labor.	Passed By House. Votes: 25 YES 13 NO 2 ABSENT 1 VACANT	out-of-gate	the measure vetoed; the campaign gate is divided and enacted
1618139	senate	2026-01-28	SB63	vetoed	15-6	unresolved	9			An Act To Amend Title 19 Of The Delaware Code Relating To Labor.		excluded	no bill-history line matches this roll on date and tally, so what the chamber was voting on cannot be established from the record
1618696	house	2026-01-28	SB63	vetoed	25-15	unresolved	5			An Act To Amend Title 19 Of The Delaware Code Relating To Labor.		excluded	no bill-history line matches this roll on date and tally, so what the chamber was voting on cannot be established from the record
1548751	senate	2025-04-15	SB75	vetoed	13-8	passage	9	1618454		An Act To Amend Title 4 Of The Delaware Code Relating To Local Control Of Retail Marijuana Stores By Counties.	Passed By Senate. Votes: 13 YES 8 NO	out-of-gate	the measure vetoed; the campaign gate is divided and enacted
1595011	house	2025-06-25	SB75	vetoed	25-13	passage	5	1713154		An Act To Amend Title 4 Of The Delaware Code Relating To Local Control Of Retail Marijuana Stores By Counties.	Passed By House. Votes: 25 YES 13 NO 1 NOT VOTING 1 ABSENT 1 VACANT	out-of-gate	the measure vetoed; the campaign gate is divided and enacted
1618454	senate	2026-01-28	SB75	vetoed	14-6	unresolved	9			An Act To Amend Title 4 Of The Delaware Code Relating To Local Control Of Retail Marijuana Stores By Counties.		excluded	no bill-history line matches this roll on date and tally, so what the chamber was voting on cannot be established from the record
1713154	house	2026-07-01	SB75	vetoed	25-16	unresolved	5			An Act To Amend Title 4 Of The Delaware Code Relating To Local Control Of Retail Marijuana Stores By Counties.		excluded	no bill-history line matches this roll on date and tally, so what the chamber was voting on cannot be established from the record
1572073	senate	2025-05-15	SB82	became law	15-6	passage	9			An Act To Amend Title 10 Of The Delaware Code Relating To Lethal Violence Protective Orders.	Passed By Senate. Votes: 15 YES 6 NO	batch-01	judged and imported
1712737	house	2026-06-30	SJR19	became law	31-10	passage	5			Directing The Department Of Health & Social Services To Explore Solutions Related To The State’s High Health Care Costs.	Passed By House. Votes: 31 YES 10 NO	dropped	filter-5 drop: directs the health department to study ways to lower health care costs and report by January 1, 2027. A study resolve with no operative duty.
