bill	roll	chamber	date	tally	outcome	question_class	disposition	reason
SB686	1584619	senate	2025-06-04	31-18	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
SB704	1623107	senate	2026-02-04	28-20	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/against, analysis not yet verified
SB712	1623046	senate	2026-02-04	32-16	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
SB713	1601688	senate	2025-09-10	28-22	passed	passage	dropped	trivia: illuminated lighting display
SB755	1604234	senate	2025-10-27	27-23	passed	passage	pending:batch-03	screened in: proposed government_efficiency/for, analysis not yet verified
SB780	1594913	senate	2025-06-25	34-16	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
SB822	1694587	senate	2026-05-06	30-20	passed	passage	pending:batch-03	screened in: proposed gun_control/against, analysis not yet verified
SB840	1594939	senate	2025-06-25	26-24	passed	passage	dropped	narrow: gaming board regulatory procedure
SB9	1566021	senate	2025-05-06	32-18	passed	passage	pending:batch-03	screened in: proposed civil_rights/against, analysis not yet verified
SB908	1707980	senate	2026-06-10	37-13	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
SB92	1533130	senate	2025-04-01	33-16	passed	passage	pending:batch-03	screened in: proposed public_safety_and_crime_control/for, analysis not yet verified
SB922	1601440	senate	2025-09-09	31-18	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
SB952	1601815	senate	2025-09-10	26-24	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
SB96	1532471	senate	2025-04-01	37-12	passed	passage	pending:batch-03	screened in: proposed public_safety_and_crime_control/for, analysis not yet verified
SB990	1663400	senate	2026-03-16	28-22	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/against, analysis not yet verified
