bill	bill_id	chamber	roll_call_id	date	tally	rolls_in_chamber	engrossed_texts	status	chapter	question_from_history	title	description	disposition	reason
H0146	1957356	house	1519066	2025-03-17	52-11	2	1	4	153		Adds to existing law to require the installation of light-mitigating technology systems on wind energy conversion systems.	WIND ENERGY CONVERSION SYSTEMS -- Adds to existing law to require the installation of light-mitigating technology systems on wind energy conversion systems.	out-of-gate:not-divided	
H0146	1957356	senate	1516255	2025-03-12	18-15	1	1	4	153	Read third time as amended in the Senate -- PASSED 18-15-2	Adds to existing law to require the installation of light-mitigating technology systems on wind energy conversion systems.	WIND ENERGY CONVERSION SYSTEMS -- Adds to existing law to require the installation of light-mitigating technology systems on wind energy conversion systems.	candidate:unbatched	
H0147	1956782	house	1495677	2025-02-20	29-39	1	0	1		Read Third Time in Full -- FAILED 29-39-2	Amends existing law to revise provisions regarding the issuance of school bonds.	EDUCATION -- Amends existing law to revise provisions regarding the issuance of school bonds.	out-of-gate:not-enacted	
H0148	1957291	house	1496449	2025-02-21	63-5	1	0	4	324	Read Third Time in Full -- PASSED 63-5-2	Adds to existing law to provide assistance to individuals litigating against the federal government.	CONSTITUTIONAL DEFENSE COUNCIL -- Adds to existing law to provide assistance to individuals litigating against the federal government.	out-of-gate:not-divided	
H0148	1957291	senate	1533342	2025-04-01	29-5	1	0	4	324	Read third time in full -- PASSED 29-5-1	Adds to existing law to provide assistance to individuals litigating against the federal government.	CONSTITUTIONAL DEFENSE COUNCIL -- Adds to existing law to provide assistance to individuals litigating against the federal government.	out-of-gate:not-divided	
H0149	1959624	house	1498178	2025-02-24	55-12	1	0	4	87	Read Third Time in Full -- PASSED 55-12-3	Adds to existing law to provide for consumer privacy in mortgage applications.	RESIDENTIAL MORTGAGE PRACTICES -- Adds to existing law to provide for consumer privacy in mortgage applications.	out-of-gate:not-divided	
H0149	1959624	senate	1509492	2025-03-10	26-9	1	0	4	87	Read third time in full -- PASSED 26-9-0	Adds to existing law to provide for consumer privacy in mortgage applications.	RESIDENTIAL MORTGAGE PRACTICES -- Adds to existing law to provide for consumer privacy in mortgage applications.	batched:batch-03	imported in batch-03
H0150	1959875	house	1528024	2025-03-26	70-0	2	1	4	216	Read third time in full as amended in Senate -- PASSED 70-0-0	Repeals and adds to existing law to revise a provision regarding conveyances or encumbrances of homesteads by married couples.	PROPERTY -- Repeals and adds to existing law to revise a provision regarding conveyances or encumbrances of homesteads by married couples.	out-of-gate:not-divided	
H0150	1959875	senate	1524205	2025-03-21	34-0	1	1	4	216	Read third time as amended in the Senate -- PASSED 34-0-1	Repeals and adds to existing law to revise a provision regarding conveyances or encumbrances of homesteads by married couples.	PROPERTY -- Repeals and adds to existing law to revise a provision regarding conveyances or encumbrances of homesteads by married couples.	out-of-gate:not-divided	
H0151	1959837	house	1496727	2025-02-21	68-0	1	0	4	83	Read Third Time in Full -- PASSED 68-0-2	Repeals and adds to existing law to provide for certain reporting requirements to be made by state agencies that are licensing authorities.	OCCUPATIONAL LICENSING REFORM ACT -- Repeals and adds to existing law to provide for certain reporting requirements to be made by state agencies that are licensing authorities.	out-of-gate:not-divided	
H0151	1959837	senate	1512202	2025-03-10	34-0	1	0	4	83	Read third time in full -- PASSED 34-0-1	Repeals and adds to existing law to provide for certain reporting requirements to be made by state agencies that are licensing authorities.	OCCUPATIONAL LICENSING REFORM ACT -- Repeals and adds to existing law to provide for certain reporting requirements to be made by state agencies that are licensing authorities.	out-of-gate:not-divided	
H0152	1960230	house	1498428	2025-02-24	64-0	1	0	4	104	Read Third Time in Full -- PASSED 64-0-6	Amends existing law to revise provisions regarding the division administrator's authority to address board and commission cash balances.	DIVISION OF OCCUPATIONAL AND PROFESSIONAL LICENSES -- Amends existing law to revise provisions regarding the division administrator's authority to address board and commission cash balances.	out-of-gate:not-divided	
H0152	1960230	senate	1512229	2025-03-10	35-0	1	0	4	104	Read third time in full -- PASSED 35-0-0	Amends existing law to revise provisions regarding the division administrator's authority to address board and commission cash balances.	DIVISION OF OCCUPATIONAL AND PROFESSIONAL LICENSES -- Amends existing law to revise provisions regarding the division administrator's authority to address board and commission cash balances.	out-of-gate:not-divided	
H0153	1959407	house	1499323	2025-02-25	69-0	1	0	4	77	Read Third Time in Full -- PASSED 69-0-1	Amends existing law to provide for dual master electrician and journeyman electrician licensure issuance.	ELECTRICAL CONTRACTORS AND JOURNEYMEN -- Amends existing law to provide for dual master electrician and journeyman electrician licensure issuance.	out-of-gate:not-divided	
H0153	1959407	senate	1512008	2025-03-10	35-0	1	0	4	77	Read third time in full -- PASSED 35-0-0	Amends existing law to provide for dual master electrician and journeyman electrician licensure issuance.	ELECTRICAL CONTRACTORS AND JOURNEYMEN -- Amends existing law to provide for dual master electrician and journeyman electrician licensure issuance.	out-of-gate:not-divided	
H0156	1960160	house	1491879	2025-02-18	34-35	1	0	1		Read Third Time in Full -- FAILED 34-35-1	Amends existing law to revise a provision regarding the compensation of commissioners.	IDAHO COMMISSION OF PARDONS AND PAROLE -- Amends existing law to revise a provision regarding the compensation of commissioners.	out-of-gate:not-enacted	
H0157	1959266	house	1508830	2025-03-07	34-34	1	1	1		Read third time in full as amended -- FAILED 34-34-2	Amends, repeals, and adds to existing law to revise provisions and requirements regarding collection of DNA samples and thumbprint impressions.	SAMPLE COLLECTIONS -- Amends, repeals, and adds to existing law to revise provisions and requirements regarding collection of DNA samples and thumbprint impressions.	out-of-gate:not-enacted	
H0158	1960017	house	1499628	2025-02-25	69-0	1	0	4	184	Read Third Time in Full -- PASSED 69-0-1	Adds to existing law to establish provisions regarding media source confidentiality.	PRODUCTION OF EVIDENCE -- Adds to existing law to establish provisions regarding media source confidentiality.	out-of-gate:not-divided	
H0158	1960017	senate	1520196	2025-03-18	35-0	1	0	4	184	Read third time in full -- PASSED 35-0-0	Adds to existing law to establish provisions regarding media source confidentiality.	PRODUCTION OF EVIDENCE -- Adds to existing law to establish provisions regarding media source confidentiality.	out-of-gate:not-divided	
H0159	1959447	house	1502400	2025-02-28	68-0	1	0	4	165	Read Third Time in Full -- PASSED 68-0-2	Amends existing law to establish provisions regarding an order to prevent removal.	CHILD PROTECTIVE ACT -- Amends existing law to establish provisions regarding an order to prevent removal.	out-of-gate:not-divided	
H0159	1959447	senate	1518480	2025-03-17	35-0	1	0	4	165	Read third time in full -- PASSED 35-0-0	Amends existing law to establish provisions regarding an order to prevent removal.	CHILD PROTECTIVE ACT -- Amends existing law to establish provisions regarding an order to prevent removal.	out-of-gate:not-divided	
H0160	1960052	house	1495779	2025-02-20	68-1	1	0	4	105	Read Third Time in Full -- PASSED 68-1-1	Amends existing law to define a public employer and a public corporation with respect to certain requirements regarding security for compensation.	WORKER'S COMPENSATION -- Amends existing law to define a public employer and a public corporation with respect to certain requirements regarding security for compensation.	out-of-gate:not-divided	
H0160	1960052	senate	1517435	2025-03-13	35-0	1	0	4	105	Read third time in full -- PASSED 35-0-0	Amends existing law to define a public employer and a public corporation with respect to certain requirements regarding security for compensation.	WORKER'S COMPENSATION -- Amends existing law to define a public employer and a public corporation with respect to certain requirements regarding security for compensation.	out-of-gate:not-divided	
H0161	1960294	house	1492505	2025-02-18	57-13	1	0	4	154	Read Third Time in Full -- PASSED 57-13-0	Amends existing law related to meetings, compensation, and the powers and duties of the board of commissioners of a flood control district.	FLOOD CONTROL DISTRICTS -- Amends existing law related to meetings, compensation, and the powers and duties of the board of commissioners of a flood control district.	out-of-gate:not-divided	
H0161	1960294	senate	1518678	2025-03-17	28-7	1	0	4	154	Read third time in full -- PASSED 28-7-0	Amends existing law related to meetings, compensation, and the powers and duties of the board of commissioners of a flood control district.	FLOOD CONTROL DISTRICTS -- Amends existing law related to meetings, compensation, and the powers and duties of the board of commissioners of a flood control district.	candidate:unbatched	
H0165	1959800	house	1495872	2025-02-20	67-0	1	0	4	41	Read Third Time in Full -- PASSED 67-0-3	Amends existing law to revise provisions regarding abandoned property.	PROPERTY -- Amends existing law to revise provisions regarding abandoned property.	out-of-gate:not-divided	
H0165	1959800	senate	1507874	2025-03-06	35-0	1	0	4	41	Read third time in full -- PASSED 35-0-0	Amends existing law to revise provisions regarding abandoned property.	PROPERTY -- Amends existing law to revise provisions regarding abandoned property.	out-of-gate:not-divided	
H0166	1959480	house	1496128	2025-02-20	36-32	1	0	2		Read Third Time in Full -- PASSED 36-32-2	Amends, repeals, and adds to existing law to provide for the electronic publication of public notices on the state controller's website and certain abbreviated	PUBLIC NOTICES -- Amends, repeals, and adds to existing law to provide for the electronic publication of public notices on the state controller's website and certain abbreviated newspaper publications by governmental ent	out-of-gate:not-enacted	
H0169	1962550	house	1502397	2025-02-28	67-0	1	0	4	106	Read Third Time in Full -- PASSED 67-0-3	Amends existing law to revise provisions regarding the budget of the Idaho Bureau of Educational Services for the Deaf and the Blind.	EDUCATION -- Amends existing law to revise provisions regarding the budget of the Idaho Bureau of Educational Services for the Deaf and the Blind.	out-of-gate:not-divided	
H0169	1962550	senate	1517436	2025-03-13	35-0	1	0	4	106	Read third time in full -- PASSED 35-0-0	Amends existing law to revise provisions regarding the budget of the Idaho Bureau of Educational Services for the Deaf and the Blind.	EDUCATION -- Amends existing law to revise provisions regarding the budget of the Idaho Bureau of Educational Services for the Deaf and the Blind.	out-of-gate:not-divided	
H0171	1962470	house	1500578	2025-02-26	35-33	1	1	4	217	Read third time in full as amended -- PASSED 35-33-2	Amends and adds to existing law to revise provisions regarding county-based or city-based intermodal commerce authority and to establish provisions regarding pu	INTERMODAL COMMERCE AUTHORITY -- Amends and adds to existing law to revise provisions regarding county-based or city-based intermodal commerce authority and to establish provisions regarding publication of proceedings an	dropped:selection	intermodal commerce authority powers, not recognizable
H0171	1962470	senate	1525665	2025-03-24	20-15	1	1	4	217	Read third time in full -- PASSED 20-15-0	Amends and adds to existing law to revise provisions regarding county-based or city-based intermodal commerce authority and to establish provisions regarding pu	INTERMODAL COMMERCE AUTHORITY -- Amends and adds to existing law to revise provisions regarding county-based or city-based intermodal commerce authority and to establish provisions regarding publication of proceedings an	dropped:selection	intermodal commerce authority powers, not recognizable
H0172	1962232	house	1489828	2025-02-13	67-0	1	0	4	19	Read Third Time in Full -- PASSED 67-0-3	Amends existing law to establish provisions regarding multiple agenda items on an agenda.	OPEN MEETINGS LAW -- Amends existing law to establish provisions regarding multiple agenda items on an agenda.	out-of-gate:not-divided	
H0172	1962232	senate	1505342	2025-03-04	34-0	1	0	4	19	Read third time in full -- PASSED 34-0-1	Amends existing law to establish provisions regarding multiple agenda items on an agenda.	OPEN MEETINGS LAW -- Amends existing law to establish provisions regarding multiple agenda items on an agenda.	out-of-gate:not-divided	
H0173	1962273	house	1500411	2025-02-26	39-29	1	0	4	138	Read Third Time in Full -- PASSED 39-29-2	Amends existing law to revise the composition of the commission and to increase assessments.	ALFALFA AND CLOVER SEED -- Amends existing law to revise the composition of the commission and to increase assessments.	dropped:selection	alfalfa and clover seed commission assessments, not recognizable
H0173	1962273	senate	1518585	2025-03-17	24-11	1	0	4	138	Read third time in full -- PASSED 24-11-0	Amends existing law to revise the composition of the commission and to increase assessments.	ALFALFA AND CLOVER SEED -- Amends existing law to revise the composition of the commission and to increase assessments.	dropped:selection	alfalfa and clover seed commission assessments, not recognizable
H0174	1962433	house	1528033	2025-03-26	64-2	2	1	4	218		Amends, repeals, and adds to existing law to establish provisions regarding motor vehicle towing.	MOTOR VEHICLE TOWING -- Amends, repeals, and adds to existing law to establish provisions regarding motor vehicle towing.	out-of-gate:not-divided	
H0174	1962433	senate	1526377	2025-03-25	35-0	1	1	4	218	Read third time as amended in the Senate -- PASSED 35-0-0	Amends, repeals, and adds to existing law to establish provisions regarding motor vehicle towing.	MOTOR VEHICLE TOWING -- Amends, repeals, and adds to existing law to establish provisions regarding motor vehicle towing.	out-of-gate:not-divided	
H0175	1962676	house	1500564	2025-02-26	67-0	1	1	4	139	Read third time in full as amended -- PASSED 67-0-3	Amends existing law to revise provisions regarding advanced opportunities.	EDUCATION -- Amends existing law to revise provisions regarding advanced opportunities.	out-of-gate:not-divided	
H0175	1962676	senate	1519142	2025-03-17	33-1	1	1	4	139	Read third time in full -- PASSED 33-1-1 -Engelking & Nichols	Amends existing law to revise provisions regarding advanced opportunities.	EDUCATION -- Amends existing law to revise provisions regarding advanced opportunities.	out-of-gate:not-divided	
H0177	1962393	house	1499489	2025-02-25	66-3	1	0	4	107	Read Third Time in Full -- PASSED 66-3-1	Adds to existing law to provide that gold and silver coin and specie shall be legal tender and to provide that no person or entity may compel another person or	LEGAL TENDER -- Adds to existing law to provide that gold and silver coin and specie shall be legal tender and to provide that no person or entity may compel another person or entity to tender or accept gold or silver co	out-of-gate:not-divided	
H0177	1962393	senate	1517608	2025-03-13	35-0	1	0	4	107	Read third time in full -- PASSED 35-0-0	Adds to existing law to provide that gold and silver coin and specie shall be legal tender and to provide that no person or entity may compel another person or	LEGAL TENDER -- Adds to existing law to provide that gold and silver coin and specie shall be legal tender and to provide that no person or entity may compel another person or entity to tender or accept gold or silver co	out-of-gate:not-divided	
H0180	1964058	house	1536653	2025-04-03	48-20	2	1	4	325		Amends, repeals, and adds to existing law to provide for the timing of the permitting process relating to broadband infrastructure.	BROADBAND INFRASTRUCTURE -- Amends, repeals, and adds to existing law to provide for the timing of the permitting process relating to broadband infrastructure.	batched:batch-02	imported in batch-02
H0180	1964058	senate	1533289	2025-04-01	24-9	1	1	4	325	Read third time as amended in the Senate -- PASSED 24-9-2	Amends, repeals, and adds to existing law to provide for the timing of the permitting process relating to broadband infrastructure.	BROADBAND INFRASTRUCTURE -- Amends, repeals, and adds to existing law to provide for the timing of the permitting process relating to broadband infrastructure.	batched:batch-02	imported in batch-02
H0181	1963679	house	1498209	2025-02-24	64-0	1	0	4	108	Read Third Time in Full -- PASSED 64-0-6	Amends existing law to provide that a credit union shall deliver articles of incorporation to the Secretary of State.	CREDIT UNIONS -- Amends existing law to provide that a credit union shall deliver articles of incorporation to the Secretary of State.	out-of-gate:not-divided	
H0181	1963679	senate	1517595	2025-03-13	35-0	1	0	4	108	Read third time in full -- PASSED 35-0-0	Amends existing law to provide that a credit union shall deliver articles of incorporation to the Secretary of State.	CREDIT UNIONS -- Amends existing law to provide that a credit union shall deliver articles of incorporation to the Secretary of State.	out-of-gate:not-divided	
H0185	1963841	house	1528006	2025-03-26	69-0	2	1	4	219	Read third time in full as amended in Senate -- PASSED 69-0-1	Amends existing law to revise provisions regarding the catastrophic search subaccount in the Search and Rescue Fund.	IDAHO STATE POLICE -- Amends existing law to revise provisions regarding the catastrophic search subaccount in the Search and Rescue Fund.	out-of-gate:not-divided	
H0185	1963841	senate	1522920	2025-03-20	35-0	1	1	4	219	Read third time as amended in the Senate -- PASSED 35-0-0	Amends existing law to revise provisions regarding the catastrophic search subaccount in the Search and Rescue Fund.	IDAHO STATE POLICE -- Amends existing law to revise provisions regarding the catastrophic search subaccount in the Search and Rescue Fund.	out-of-gate:not-divided	
H0187	1964072	house	1498343	2025-02-24	47-18	1	0	4	140	Read Third Time in Full -- PASSED 47-18-5	Amends and adds to existing law to establish provisions regarding advisement to certain probationers and parolees regarding conditions of probation or parole.	PROBATION AND PAROLE -- Amends and adds to existing law to establish provisions regarding advisement to certain probationers and parolees regarding conditions of probation or parole.	batched:batch-02	imported in batch-02
H0187	1964072	senate	1517454	2025-03-13	24-8	1	0	4	140	Read third time in full -- PASSED 24-8-3	Amends and adds to existing law to establish provisions regarding advisement to certain probationers and parolees regarding conditions of probation or parole.	PROBATION AND PAROLE -- Amends and adds to existing law to establish provisions regarding advisement to certain probationers and parolees regarding conditions of probation or parole.	batched:batch-02	imported in batch-02
H0194	1964002	house	1504008	2025-03-03	70-0	1	0	4	141		Amends existing law to revise provisions regarding water districts and assessments.	WATER -- Amends existing law to revise provisions regarding water districts and assessments.	out-of-gate:not-divided	
H0194	1964002	senate	1519285	2025-03-17	35-0	1	0	4	141	Read third time in full -- PASSED 35-0-0	Amends existing law to revise provisions regarding water districts and assessments.	WATER -- Amends existing law to revise provisions regarding water districts and assessments.	out-of-gate:not-divided	
H0198	1963652	house	1496372	2025-02-21	67-1	1	0	4	84	Read Third Time in Full -- PASSED 67-1-2	Amends, repeals, and adds to existing law to establish provisions regarding laboratories.	LABORATORIES -- Amends, repeals, and adds to existing law to establish provisions regarding laboratories.	out-of-gate:not-divided	
H0198	1963652	senate	1512075	2025-03-10	32-2	1	0	4	84	Read third time in full -- PASSED 32-2-1	Amends, repeals, and adds to existing law to establish provisions regarding laboratories.	LABORATORIES -- Amends, repeals, and adds to existing law to establish provisions regarding laboratories.	out-of-gate:not-divided	
H0199	1963813	house	1496723	2025-02-21	61-8	1	0	4	166	Read Third Time in Full -- PASSED 61-8-1	Adds to existing law to establish provisions regarding refugee medical assistance.	REFUGEES -- Adds to existing law to establish provisions regarding refugee medical assistance.	out-of-gate:not-divided	
H0199	1963813	senate	1518581	2025-03-17	29-6	1	0	4	166	Read third time in full -- PASSED 29-6-0	Adds to existing law to establish provisions regarding refugee medical assistance.	REFUGEES -- Adds to existing law to establish provisions regarding refugee medical assistance.	out-of-gate:not-divided	
H0200	1963785	house	1498422	2025-02-24	62-1	1	0	4	93	Read Third Time in Full -- PASSED 62-1-7	Amends, repeals, and adds to existing law to update provisions regarding the practice of pharmacy in Idaho.	PHARMACISTS -- Amends, repeals, and adds to existing law to update provisions regarding the practice of pharmacy in Idaho.	out-of-gate:not-divided	
H0200	1963785	senate	1512245	2025-03-10	35-0	1	0	4	93	Read third time in full -- PASSED 35-0-0	Amends, repeals, and adds to existing law to update provisions regarding the practice of pharmacy in Idaho.	PHARMACISTS -- Amends, repeals, and adds to existing law to update provisions regarding the practice of pharmacy in Idaho.	out-of-gate:not-divided	
H0202	1964045	house	1491118	2025-02-17	69-0	1	0	4	47	Read Third Time in Full -- PASSED 69-0-1	Amends, repeals, and adds to existing law to remove provisions previously related to the Department of Health and Welfare that are now assigned to other state a	HEALTH AND WELFARE -- Amends, repeals, and adds to existing law to remove provisions previously related to the Department of Health and Welfare that are now assigned to other state agencies.	out-of-gate:not-divided	
H0202	1964045	senate	1507869	2025-03-06	34-1	1	0	4	47	Read third time in full -- PASSED 34-1-0	Amends, repeals, and adds to existing law to remove provisions previously related to the Department of Health and Welfare that are now assigned to other state a	HEALTH AND WELFARE -- Amends, repeals, and adds to existing law to remove provisions previously related to the Department of Health and Welfare that are now assigned to other state agencies.	out-of-gate:not-divided	
H0204	1965064	house	1496380	2025-02-21	69-0	1	0	4	109	Read Third Time in Full -- PASSED 69-0-1	Amends and adds to existing law to establish a World Famous Idaho Potatoes black license plate and a World Famous Idaho Potatoes white license plate.	MOTOR VEHICLES -- Amends and adds to existing law to establish a World Famous Idaho Potatoes black license plate and a World Famous Idaho Potatoes white license plate.	out-of-gate:not-divided	
H0204	1965064	senate	1517799	2025-03-13	30-1	1	0	4	109	Read third time in full -- PASSED 30-1-4	Amends and adds to existing law to establish a World Famous Idaho Potatoes black license plate and a World Famous Idaho Potatoes white license plate.	MOTOR VEHICLES -- Amends and adds to existing law to establish a World Famous Idaho Potatoes black license plate and a World Famous Idaho Potatoes white license plate.	out-of-gate:not-divided	
H0205	1965329	house	1500307	2025-02-26	64-3	1	0	4	78	Read Third Time in Full -- PASSED 64-3-3	Amends existing law to provide for vehicles to exceed the speed limit while passing in a passing lane.	RULES OF THE ROAD -- Amends existing law to provide for vehicles to exceed the speed limit while passing in a passing lane.	out-of-gate:not-divided	
H0205	1965329	senate	1509498	2025-03-10	35-0	1	0	4	78	Read third time in full -- PASSED 35-0-0	Amends existing law to provide for vehicles to exceed the speed limit while passing in a passing lane.	RULES OF THE ROAD -- Amends existing law to provide for vehicles to exceed the speed limit while passing in a passing lane.	out-of-gate:not-divided	
H0206	1965241	house	1500127	2025-02-26	53-15	1	0	4	94	Read Third Time in Full -- PASSED 53-15-2	Amends, repeals, and adds to existing law to transfer emergency medical services responsibilites to the Idaho Military Division.	EMERGENCY MEDICAL SERVICES -- Amends, repeals, and adds to existing law to transfer emergency medical services responsibilites to the Idaho Military Division.	candidate:unbatched	
H0206	1965241	senate	1511801	2025-03-10	31-3	1	0	4	94	Read third time in full -- PASSED 31-3-1	Amends, repeals, and adds to existing law to transfer emergency medical services responsibilites to the Idaho Military Division.	EMERGENCY MEDICAL SERVICES -- Amends, repeals, and adds to existing law to transfer emergency medical services responsibilites to the Idaho Military Division.	out-of-gate:not-divided	
H0207	1965129	house	1500600	2025-02-26	52-16	1	0	4	95	Read Third Time in Full -- PASSED 52-16-2	Repeals and adds to existing law to provide for the recognition of the EMS personnel licensure interstate compact.	EMERGENCY MEDICAL SERVICES -- Repeals and adds to existing law to provide for the recognition of the EMS personnel licensure interstate compact.	candidate:unbatched	
H0207	1965129	senate	1512176	2025-03-10	31-3	1	0	4	95	Read third time in full -- PASSED 31-3-1	Repeals and adds to existing law to provide for the recognition of the EMS personnel licensure interstate compact.	EMERGENCY MEDICAL SERVICES -- Repeals and adds to existing law to provide for the recognition of the EMS personnel licensure interstate compact.	out-of-gate:not-divided	
H0208	1965172	house	1498106	2025-02-24	43-24	1	0	4	155	Read Third Time in Full -- PASSED 43-24-3	Amends existing law to revise provisions regarding the consolidation of fire protection districts.	FIRE PROTECTION DISTRICTS -- Amends existing law to revise provisions regarding the consolidation of fire protection districts.	candidate:unbatched	
H0208	1965172	senate	1520663	2025-03-18	35-0	1	0	4	155	Read third time in full -- PASSED 35-0-0	Amends existing law to revise provisions regarding the consolidation of fire protection districts.	FIRE PROTECTION DISTRICTS -- Amends existing law to revise provisions regarding the consolidation of fire protection districts.	out-of-gate:not-divided	
H0212	1965353	house	1498419	2025-02-24	60-7	1	0	4	255	Read Third Time in Full -- PASSED 60-7-3	Amends existing law to revise provisions regarding the petition to propose a library district.	PUBLIC LIBRARY DISTRICTS -- Amends existing law to revise provisions regarding the petition to propose a library district.	out-of-gate:not-divided	
H0212	1965353	senate	1533364	2025-04-01	27-6	1	0	4	255	Read third time in full -- PASSED 27-6-2	Amends existing law to revise provisions regarding the petition to propose a library district.	PUBLIC LIBRARY DISTRICTS -- Amends existing law to revise provisions regarding the petition to propose a library district.	out-of-gate:not-divided	
H0214	1965370	house	1506953	2025-03-05	36-33	1	0	2			Amends existing law to revise a provision regarding electrical contractor supervision and to define a term.	ELECTRICAL CONTRACTORS AND JOURNEYMEN -- Amends existing law to revise a provision regarding electrical contractor supervision and to define a term.	out-of-gate:not-enacted	
H0215	1965218	house	1511969	2025-03-10	69-0	1	0	4	192	Read Third Time in Full -- PASSED 69-0-1	Amends, repeals, and adds to existing law to provide for reports to the Legislature to be submitted electronically and to remove obsolete provisions regarding r	REPORTS TO THE LEGISLATURE -- Amends, repeals, and adds to existing law to provide for reports to the Legislature to be submitted electronically and to remove obsolete provisions regarding reporting requirements.	out-of-gate:not-divided	
H0215	1965218	senate	1521705	2025-03-19	33-0	1	0	4	192	Read third time in full -- PASSED 33-0-2	Amends, repeals, and adds to existing law to provide for reports to the Legislature to be submitted electronically and to remove obsolete provisions regarding r	REPORTS TO THE LEGISLATURE -- Amends, repeals, and adds to existing law to provide for reports to the Legislature to be submitted electronically and to remove obsolete provisions regarding reporting requirements.	out-of-gate:not-divided	
H0220	1967342	house	1499635	2025-02-25	69-0	1	0	4	110	Read Third Time in Full -- PASSED 69-0-1	Amends, repeals, and adds to existing law to revise provisions regarding behavioral health services.	BEHAVIORAL HEALTH -- Amends, repeals, and adds to existing law to revise provisions regarding behavioral health services.	out-of-gate:not-divided	
H0220	1967342	senate	1517423	2025-03-13	35-0	1	0	4	110	Read third time in full -- PASSED 35-0-0	Amends, repeals, and adds to existing law to revise provisions regarding behavioral health services.	BEHAVIORAL HEALTH -- Amends, repeals, and adds to existing law to revise provisions regarding behavioral health services.	out-of-gate:not-divided	
H0222	1967490	house	1509535	2025-03-10	69-0	1	0	4	193	Read Third Time in Full -- PASSED 69-0-1	Adds to existing law to require state websites to contain certain rule and policy documents and a certain statement.	STATE WEBSITES -- Adds to existing law to require state websites to contain certain rule and policy documents and a certain statement.	out-of-gate:not-divided	
H0222	1967490	senate	1521515	2025-03-19	33-0	1	0	4	193	Read third time in full -- PASSED 33-0-2	Adds to existing law to require state websites to contain certain rule and policy documents and a certain statement.	STATE WEBSITES -- Adds to existing law to require state websites to contain certain rule and policy documents and a certain statement.	out-of-gate:not-divided	
H0223	1967192	house	1498528	2025-02-24	62-5	1	0	2		Read Third Time in Full -- PASSED 62-5-3	Amends existing law to remove provisions regarding legislative review of rules and to revise provisions regarding legislative review of rules.	IDAHO ADMINISTRATIVE PROCEDURE ACT -- Amends existing law to remove provisions regarding legislative review of rules and to revise provisions regarding legislative review of rules.	out-of-gate:not-enacted	
H0224	1967048	house	1492216	2025-02-18	70-0	1	0	4	72	Read Third Time in Full -- PASSED 70-0-0	Amends existing law to require public school districts to adopt certain safety protocols.	EDUCATION -- Amends existing law to require public school districts to adopt certain safety protocols.	out-of-gate:not-divided	
H0224	1967048	senate	1512193	2025-03-10	34-0	1	0	4	72	Read third time in full -- PASSED 34-0-1 -Engelking	Amends existing law to require public school districts to adopt certain safety protocols.	EDUCATION -- Amends existing law to require public school districts to adopt certain safety protocols.	out-of-gate:not-divided	
H0226	1969483	house	1497888	2025-02-24	65-0	1	0	4	79	Read Third Time in Full -- PASSED 65-0-5	Amends and adds to existing law to provide for the adjustment of line license tax allocations, the expenditures of reclamation funds, voluntary contributions, t	MINES AND MINING -- Amends and adds to existing law to provide for the adjustment of line license tax allocations, the expenditures of reclamation funds, voluntary contributions, the establishment of an advisory committe	out-of-gate:not-divided	
H0226	1969483	senate	1511679	2025-03-10	35-0	1	0	4	79	Read third time in full -- PASSED 35-0-0	Amends and adds to existing law to provide for the adjustment of line license tax allocations, the expenditures of reclamation funds, voluntary contributions, t	MINES AND MINING -- Amends and adds to existing law to provide for the adjustment of line license tax allocations, the expenditures of reclamation funds, voluntary contributions, the establishment of an advisory committe	out-of-gate:not-divided	
H0227	1969276	house	1502356	2025-02-28	68-0	1	0	4	111	Read Third Time in Full -- PASSED 68-0-2	Amends existing law to require the Secretary of State to prescribe certain financing statement forms in compliance with the Uniform Commercial Code.	SECURED TRANSACTIONS -- Amends existing law to require the Secretary of State to prescribe certain financing statement forms in compliance with the Uniform Commercial Code.	out-of-gate:not-divided	
H0227	1969276	senate	1517447	2025-03-13	32-0	1	0	4	111	Read third time in full -- PASSED 32-0-3	Amends existing law to require the Secretary of State to prescribe certain financing statement forms in compliance with the Uniform Commercial Code.	SECURED TRANSACTIONS -- Amends existing law to require the Secretary of State to prescribe certain financing statement forms in compliance with the Uniform Commercial Code.	out-of-gate:not-divided	
H0230	1969803	house	1498007	2025-02-24	55-10	1	0	2		Read Third Time in Full -- PASSED 54-11-5	Adds to existing law to establish provisions regarding a civil action following an indecent sexual exhibition.	INDECENT SEXUAL EXHIBITIONS AND CIVIL ACTIONS -- Adds to existing law to establish provisions regarding a civil action following an indecent sexual exhibition.	held:tally-defect	
H0231	1969378	house	1490602	2025-02-14	61-6	1	0	4	56	PASSED 61-6-3	Amends existing law to increase the food tax credit and to provide an alternative tax credit for the actual amount paid by taxpayers on food purchases.	FOOD TAX CREDITS AND REFUNDS -- Amends existing law to increase the food tax credit and to provide an alternative tax credit for the actual amount paid by taxpayers on food purchases.	out-of-gate:not-divided	
H0231	1969378	senate	1506569	2025-03-05	30-3	1	0	4	56	Read third time in full -- PASSED 30-3-2	Amends existing law to increase the food tax credit and to provide an alternative tax credit for the actual amount paid by taxpayers on food purchases.	FOOD TAX CREDITS AND REFUNDS -- Amends existing law to increase the food tax credit and to provide an alternative tax credit for the actual amount paid by taxpayers on food purchases.	out-of-gate:not-divided	
